,Intel,Intel,Intel,Intel
34,Core i5-13600,14 / 20,Socket 1700,"Jan 4th, 2023"
35,Core i5-13600H,12 / 16,BGA 1744,"Jan 4th, 2023"
36,Core i5-13600HX,14 / 20,BGA 1964,"Jan 4th, 2023"
37,Core i5-13600T,14 / 20,Socket 1700,"Jan 4th, 2023"
38,Core i7-1355U,10 / 12,BGA 1744,"Jan 4th, 2023"
39,Core i7-1360P,12 / 16,BGA 1744,"Jan 4th, 2023"
40,Core i7-13620H,10 / 16,BGA 1744,"Jan 4th, 2023"
41,Core i7-13650HX,14 / 20,BGA 1964,"Jan 4th, 2023"
42,Core i7-1365U,10 / 12,BGA 1744,"Jan 4th, 2023"
43,Core i7-1365UE,10 / 12,BGA 1744,"Jan 4th, 2023"
44,Core i7-13700,16 / 24,Socket 1700,"Jan 4th, 2023"
45,Core i7-13700E,16 / 24,Socket 1700,"Jan 4th, 2023"
46,Core i7-13700F,16 / 24,Socket 1700,"Jan 4th, 2023"
47,Core i7-13700H,14 / 20,BGA 1744,"Jan 4th, 2023"
48,Core i7-13700HX,16 / 24,BGA 1964,"Jan 4th, 2023"
49,Core i7-13700T,16 / 24,Socket 1700,"Jan 4th, 2023"
50,Core i7-13700TE,16 / 24,Socket 1700,"Jan 4th, 2023"
51,Core i7-13705H,14 / 20,BGA 1744,"Jan 4th, 2023"
52,Core i7-1370P,14 / 20,BGA 1744,"Jan 4th, 2023"
53,Core i7-13790F,16 / 24,Socket 1700,"Feb 10th, 2023"
54,Core i7-13800H,14 / 20,BGA 1744,"Jan 4th, 2023"
55,Core i7-13850HX,20 / 28,BGA 1964,"Jan 4th, 2023"
56,Core i9-13900,24 / 32,Socket 1700,"Jan 4th, 2023"
57,Core i9-13900E,24 / 32,Socket 1700,"Jan 4th, 2023"
58,Core i9-13900F,24 / 32,Socket 1700,"Jan 4th, 2023"
59,Core i9-13900H,14 / 20,BGA 1744,"Jan 4th, 2023"
60,Core i9-13900HK,14 / 20,BGA 1744,"Jan 4th, 2023"
61,Core i9-13900HX,24 / 32,BGA 1964,"Jan 4th, 2023"
62,Core i9-13900KS,24 / 32,Socket 1700,"Jan 12th, 2023"
63,Core i9-13900T,24 / 32,Socket 1700,"Jan 4th, 2023"
64,Core i9-13900TE,24 / 32,Socket 1700,"Jan 4th, 2023"
65,Core i9-13905H,14 / 20,BGA 1744,"Jan 4th, 2023"
66,Core i9-13950HX,24 / 32,BGA 1964,"Jan 4th, 2023"
67,Core i9-13980HX,24 / 32,BGA 1964,"Jan 4th, 2023"
68,Processor N100,4,BGA 1744,"Jan 3rd, 2023"
69,Processor N200,4,BGA 1744,"Jan 3rd, 2023"
70,Processor N50,2,BGA 1744,"Jan 3rd, 2023"
71,Processor N97,4,BGA 1744,"Jan 3rd, 2023"
72,Processor U300,5 / 6,BGA 1744,"Jan 4th, 2023"
73,Processor U300E,5 / 6,BGA 1744,"Jan 4th, 2023"
74,Xeon Max 9460,40 / 80,Socket 4677,"Jan 10th, 2023"
75,Xeon Max 9462,32 / 64,Socket 4677,"Jan 10th, 2023"
76,Xeon Max 9468,48 / 96,Socket 4677,"Jan 10th, 2023"
77,Xeon Max 9470,52 / 104,Socket 4677,"Jan 10th, 2023"
78,Xeon Max 9480,56 / 112,Socket 4677,"Jan 10th, 2023"
79,Xeon Platinum 8460Y+,40 / 80,Socket 4677,"Jan 10th, 2023"
80,Xeon Platinum 8461V,48 / 96,Socket 4677,"Jan 10th, 2023"
81,Xeon Platinum 8468,48 / 96,Socket 4677,"Jan 10th, 2023"
82,Xeon Platinum 8470,52 / 104,Socket 4677,"Jan 10th, 2023"
83,Xeon Platinum 8470N,52 / 104,Socket 4677,"Jan 10th, 2023"
84,Xeon Platinum 8470Q,52 / 104,Socket 4677,"Jan 10th, 2023"
85,Xeon Platinum 8471N,52 / 104,Socket 4677,"Jan 10th, 2023"
86,Xeon Platinum 8480+,56 / 112,Socket 4677,"Jan 10th, 2023"
87,Xeon Platinum 8490H,60 / 120,Socket 4677,"Jan 10th, 2023"
