,Intel,Intel,Intel,Intel
,Name,Cores,Socket,Released
0,Atom x7211E,2,BGA 1744,"Jan 3rd, 2023"
1,Atom x7213E,2,BGA 1744,"Jan 3rd, 2023"
2,Atom x7425E,4,BGA 1744,"Jan 3rd, 2023"
3,Core i3-1305U,5 / 6,BGA 1744,"Jan 4th, 2023"
4,Core i3-13100,4 / 8,Socket 1700,"Jan 4th, 2023"
5,Core i3-13100E,4 / 8,Socket 1700,"Jan 4th, 2023"
6,Core i3-13100F,4 / 8,Socket 1700,"Jan 4th, 2023"
7,Core i3-13100T,4 / 8,Socket 1700,"Jan 4th, 2023"
8,Core i3-13100TE,4 / 8,Socket 1700,"Jan 4th, 2023"
9,Core i3-1315U,6 / 8,BGA 1744,"Jan 4th, 2023"
10,Core i3-1315UE,6 / 8,BGA 1744,"Jan 4th, 2023"
11,Core i3-N300,8,BGA 1744,"Jan 3rd, 2023"
12,Core i3-N305,8,BGA 1744,"Jan 3rd, 2023"
13,Core i5-1334U,10 / 12,BGA 1744,"Jan 4th, 2023"
14,Core i5-1335U,10 / 12,BGA 1744,"Jan 4th, 2023"
15,Core i5-1335UE,10 / 12,BGA 1744,"Jan 4th, 2023"
16,Core i5-13400,10 / 16,Socket 1700,"Jan 4th, 2023"
17,Core i5-13400E,10 / 16,Socket 1700,"Jan 4th, 2023"
18,Core i5-13400F,10 / 16,Socket 1700,"Jan 4th, 2023"
19,Core i5-13400T,10 / 16,Socket 1700,"Jan 4th, 2023"
20,Core i5-1340P,12 / 16,BGA 1744,"Jan 4th, 2023"
21,Core i5-13420H,8 / 12,BGA 1744,"Jan 4th, 2023"
22,Core i5-13450HX,10 / 16,BGA 1964,"Jan 4th, 2023"
23,Core i5-1345U,10 / 12,BGA 1744,"Jan 4th, 2023"
24,Core i5-1345UE,10 / 12,BGA 1744,"Jan 4th, 2023"
25,Core i5-13490F,10 / 16,Socket 1700,"Feb 10th, 2023"
26,Core i5-13500,14 / 20,Socket 1700,"Jan 4th, 2023"
27,Core i5-13500E,14 / 20,Socket 1700,"Jan 4th, 2023"
28,Core i5-13500H,12 / 16,BGA 1744,"Jan 4th, 2023"
29,Core i5-13500HX,14 / 20,BGA 1964,"Jan 4th, 2023"
30,Core i5-13500T,14 / 20,Socket 1700,"Jan 4th, 2023"
31,Core i5-13500TE,14 / 20,Socket 1700,"Jan 4th, 2023"
32,Core i5-13505H,12 / 16,BGA 1744,"Jan 4th, 2023"
33,Core i5-1350P,12 / 16,BGA 1744,"Jan 4th, 2023"
