,Intel,Intel,Intel,Intel
55,Core i7-12700TE,12 / 20,Socket 1700,Jan 2022
56,Core i7-1270P,12 / 16,BGA 1744,"Feb 23rd, 2022"
57,Core i7-12800H,14 / 20,BGA 1744,Jan 2022
58,Core i7-12800HE,14 / 20,BGA 1744,Jan 2022
59,Core i7-12800HX,16 / 24,BGA 1964,"May 10th, 2022"
60,Core i7-1280P,14 / 20,BGA 1744,"Feb 23rd, 2022"
61,Core i7-12850HX,16 / 24,BGA 1964,"May 10th, 2022"
62,Core i7-13700K,16 / 24,Socket 1700,"Sep 27th, 2022"
63,Core i7-13700KF,16 / 24,Socket 1700,"Sep 27th, 2022"
64,Core i9-12900,16 / 24,Socket 1700,"Jan 4th, 2022"
65,Core i9-12900E,16 / 24,Socket 1700,"Jan 4th, 2022"
66,Core i9-12900F,16 / 24,Socket 1700,"Jan 4th, 2022"
67,Core i9-12900H,14 / 20,BGA 1744,"Jan 4th, 2022"
68,Core i9-12900HK,14 / 20,BGA 1744,"Jan 4th, 2022"
69,Core i9-12900HX,16 / 24,BGA 1964,"May 10th, 2022"
70,Core i9-12900KS,16 / 24,Socket 1700,"Apr 5th, 2022"
71,Core i9-12900T,16 / 24,Socket 1700,"Jan 4th, 2022"
72,Core i9-12900TE,16 / 24,Socket 1700,"Jan 4th, 2022"
73,Core i9-12950HX,16 / 24,BGA 1964,"May 10th, 2022"
74,Core i9-13900K,24 / 32,Socket 1700,"Sep 27th, 2022"
75,Core i9-13900KF,24 / 32,Socket 1700,"Sep 27th, 2022"
76,Pentium 8500,5 / 6,BGA 1781,"Feb 23rd, 2022"
77,Pentium 8505,5 / 6,BGA 1744,"Feb 23rd, 2022"
78,Pentium 8505 (IPU),5 / 6,BGA 1744,"Feb 23rd, 2022"
79,Pentium Gold G7400,2 / 4,Socket 1700,"Jan 4th, 2022"
80,Pentium Gold G7400E,2 / 4,Socket 1700,"Jan 4th, 2022"
81,Pentium Gold G7400T,2 / 4,Socket 1700,"Jan 4th, 2022"
82,Pentium Gold G7400TE,2 / 4,Socket 1700,"Jan 4th, 2022"
