,Manufacturer,Family,Number,Core,Frequency,Cache,Power
0,ASROCK,Core i9,i9-10980XE(L1),Cascade Lake-X,3GHz,24.75MB,165W
1,ASROCK,Core i9,i9-10940X(L1),Cascade Lake-X,3.3GHz,19.25MB,165W
2,ASROCK,Core i9,i9-10920X(L1),Cascade Lake-X,3.5GHz,19.25MB,165W
3,ASROCK,Core i9,i9-10900X(L1),Cascade Lake-X,3.7GHz,19.25MB,165W
4,ASROCK,Core i9,i9-9980XE(M0),Skylake-X Refresh,3.0GHz,24.75MB,165W
5,ASROCK,Core i9,i9-9960X(M0),Skylake-X Refresh,3.1GHz,22MB,165W
6,ASROCK,Core i9,i9-9940X(M0),Skylake-X Refresh,3.3GHz,19.25MB,165W
7,ASROCK,Core i9,i9-9920X(M0),Skylake-X Refresh,3.5GHz,19.25MB,165W
8,ASROCK,Core i9,i9-9900X(M0),Skylake-X Refresh,3.5GHz,19.25MB,165W
9,ASROCK,Core i9,i9-9820X(M0),Skylake-X Refresh,3.3GHz,16.5MB,165W
10,ASROCK,Core i9,i9-7980XE(M0),Skylake-X,2.6GHz,24.75MB,165W
11,ASROCK,Core i9,i9-7960X(M0),Skylake-X,2.8GHz,22MB,165W
12,ASROCK,Core i9,i9-7940X(M0),Skylake-X,3.1GHz,19.25MB,165W
13,ASROCK,Core i9,i9-7920X(M0),Skylake-X,2.9GHz,16.5MB,140W
14,ASROCK,Core i9,i9-7900X(U0),Skylake-X,3.3GHz,13.75MB,140W
15,ASROCK,Core i7,i7-9800X(M0),Skylake-X Refresh,3.8GHz,16.5MB,165W
16,ASROCK,Core i7,i7-7820X(U0),Skylake-X,3.6GHz,11MB,140W
17,ASROCK,Core i7,i7-7800X(M0),Skylake-X,3.5GHz,8.25MB,140W
18,ASROCK,Core i7,i7-7800X(U0),Skylake-X,3.5GHz,8.25MB,140W
19,ASROCK,Core i7,i7-7740X(B0),Kaby Lake-X,4.3GHz,8MB,112W
20,ASROCK,Core i5,i5-7640X(B0),Kaby Lake-X,4.0GHz,6MB,112W
