,Manufacturer,Family,Number,Core,Frequency,Cache,Power
0,ASROCK,Xeon,W-1390(B0),Rocket Lake,2.8GHz,16MB,80W
1,ASROCK,Xeon,W-1390T(B0),Rocket Lake,1.5GHz,16MB,35W
2,ASROCK,Xeon,W-1370(B0),Rocket Lake,2.9GHz,16MB,80W
3,ASROCK,Xeon,W-1350P(B0),Rocket Lake,4.0GHz,12MB,125W
4,ASROCK,Xeon,W-1350(B0),Rocket Lake,3.3GHz,12MB,80W
5,ASROCK,Core i9,i9-11900KF(B0),Rocket Lake,3.5GHz,16MB,125W
6,ASROCK,Core i9,i9-11900K(B0),Rocket Lake,3.5GHz,16MB,125W
7,ASROCK,Core i9,i9-11900F(B0),Rocket Lake,2.5GHz,16MB,65W
8,ASROCK,Core i9,i9-11900(B0),Rocket Lake,2.5GHz,16MB,65W
9,ASROCK,Core i9,i9-11900T(B0),Rocket Lake,1.5GHz,16MB,35W
10,ASROCK,Core i7,i7-11700K(B0),Rocket Lake,3.6GHz,16MB,125W
11,ASROCK,Core i7,i7-11700KF(B0),Rocket Lake,3.6GHz,16MB,125W
12,ASROCK,Core i7,i7-11700F(B0),Rocket Lake,2.5GHz,16MB,65W
13,ASROCK,Core i7,i7-11700(B0),Rocket Lake,2.5GHz,16MB,65W
14,ASROCK,Core i7,i7-11700T(B0),Rocket Lake,1.4GHz,16MB,35W
15,ASROCK,Core i5,i5-11600KF,Rocket Lake,3.9GHz,12MB,125W
16,ASROCK,Core i5,i5-11600K(B0),Rocket Lake,3.9GHz,12MB,125W
17,ASROCK,Core i5,i5-11600(B0),Rocket Lake,2.8GHz,12MB,65W
18,ASROCK,Core i5,i5-11600T(B0),Rocket Lake,1.7GHz,12MB,35W
19,ASROCK,Core i5,i5-11500(B0),Rocket Lake,2.7GHz,12MB,65W
20,ASROCK,Core i5,i5-11500T(B0),Rocket Lake,1.5GHz,12MB,35W
21,ASROCK,Core i5,i5-11400F(B0),Rocket Lake,2.6GHz,12MB,65W
22,ASROCK,Core i5,i5-11400(B0),Rocket Lake,2.6GHz,12MB,65W
23,ASROCK,Core i5,i5-11400T(B0),Rocket Lake,1.3GHz,12MB,35W
24,ASROCK,Core i3,i3-10325(G1),Comet Lake Refresh,3.9GHz,8MB,65W
25,ASROCK,Core i3,i3-10305(G1),Comet Lake Refresh,3.8GHz,8MB,65W
