,Manufacturer,Family,Number,Core,Frequency,Cache,Power
26,ASROCK,Core i3,i3-10305T(G1),Comet Lake Refresh,3GHz,8MB,35W
27,ASROCK,Core i3,i3-10105F(G1),Comet Lake Refresh,3.7GHz,6MB,65W
28,ASROCK,Core i3,i3-10105(G1),Comet Lake Refresh,3.7GHz,6MB,65W
29,ASROCK,Core i3,i3-10105T(G1),Comet Lake Refresh,3GHz,6MB,35W
30,ASROCK,Pentium Gold,G6605(G1),Comet Lake Refresh,4.3GHz,4MB,58W
31,ASROCK,Pentium Gold,G6505(G1),Comet Lake Refresh,4.2GHz,4MB,58W
32,ASROCK,Pentium Gold,G6505T(G1),Comet Lake Refresh,3.6GHz,4MB,35W
33,ASROCK,Pentium Gold,G6405(G1),Comet Lake Refresh,4.1GHz,4MB,58W
34,ASROCK,Pentium Gold,G6405T(G1),Comet Lake Refresh,3.5GHz,4MB,35W
35,ASROCK,Xeon,W-1290P(Q0),Comet Lake,3.7GHz,20MB,125W
36,ASROCK,Xeon,W-1290(Q0),Comet Lake,3.2GHz,20MB,80W
37,ASROCK,Xeon,W-1290T(Q0),Comet Lake,1.9GHz,20MB,35W
38,ASROCK,Xeon,W-1270P(Q0),Comet Lake,3.8GHz,16MB,125W
39,ASROCK,Xeon,W-1270(Q0),Comet Lake,3.4GHz,16MB,80W
40,ASROCK,Xeon,W-1250P(Q0),Comet Lake,4.1GHz,12MB,125W
41,ASROCK,Xeon,W-1250(G1),Comet Lake,3.3GHz,12MB,80W
42,ASROCK,Core i9,i9-10900K(Q0),Comet Lake,3.7GHz,20MB,125W
43,ASROCK,Core i9,i9-10900KF(Q0),Comet Lake,3.7GHz,20MB,125W
44,ASROCK,Core i9,i9-10900F(Q0),Comet Lake,2.8GHz,20MB,65W
45,ASROCK,Core i9,i9-10900T(Q0),Comet Lake,1.9GHz,20MB,35W
46,ASROCK,Core i9,i9-10900(Q0),Comet Lake,2.8GHz,20MB,65W
47,ASROCK,Core i9,i9-10850K(Q0),Comet Lake,3.6GHz,20MB,125W
48,ASROCK,Core i7,i7-10700K(Q0),Comet Lake,3.8GHz,16MB,125W
49,ASROCK,Core i7,i7-10700KF(Q0),Comet Lake,3.8GHz,16MB,125W
50,ASROCK,Core i7,i7-10700F(Q0),Comet Lake,2.9GHz,16MB,65W
51,ASROCK,Core i7,i7-10700(Q0),Comet Lake,2.9GHz,16MB,65W
52,ASROCK,Core i7,i7-10700T(Q0),Comet Lake,2.0GHz,16MB,35W
53,ASROCK,Core i5,i5-10600K(Q0),Comet Lake,4.1GHz,12MB,125W
54,ASROCK,Core i5,i5-10600KF(Q0),Comet Lake,4.1GHz,12MB,125W
55,ASROCK,Core i5,i5-10600(G1),Comet Lake,3.3GHz,12MB,65W
56,ASROCK,Core i5,i5-10600T(G1),Comet Lake,2.4GHz,12MB,35W
57,ASROCK,Core i5,i5-10500(G1),Comet Lake,3.1GHz,12MB,65W
58,ASROCK,Core i5,i5-10500T(G1),Comet Lake,2.3GHz,12MB,35W
59,ASROCK,Core i5,i5-10400F(Q0),Comet Lake,2.9GHz,12MB,65W
60,ASROCK,Core i5,i5-10400F(G1),Comet Lake,2.9GHz,12MB,65W
61,ASROCK,Core i5,i5-10400(G1),Comet Lake,2.9GHz,12MB,65W
62,ASROCK,Core i5,i5-10400(Q0),Comet Lake,2.9GHz,12MB,65W
63,ASROCK,Core i5,i5-10400T(G1),Comet Lake,2.0GHz,12MB,35W
64,ASROCK,Core i3,i3-10320(G1),Comet Lake,3.8GHz,8MB,65W
65,ASROCK,Core i3,i3-10300(G1),Comet Lake,3.7GHz,8MB,65W
66,ASROCK,Core i3,i3-10300T(G1),Comet Lake,3.0GHz,8MB,35W
67,ASROCK,Core i3,i3-10100F(G1),Comet Lake,3.6GHz,6MB,65W
68,ASROCK,Core i3,i3-10100(G1),Comet Lake,3.6GHz,6MB,65W
69,ASROCK,Core i3,i3-10100T(G1),Comet Lake,3.0GHz,6MB,35W
70,ASROCK,Pentium Gold,G6600(G1),Comet Lake,4.2GHz,4MB,58W
71,ASROCK,Pentium Gold,G6500(G1),Comet Lake,4.1GHz,4MB,58W
72,ASROCK,Pentium Gold,G6500T(G1),Comet Lake,3.5GHz,4MB,35W
73,ASROCK,Pentium Gold,G6400(G1),Comet Lake,4.0GHz,4MB,58W
74,ASROCK,Pentium Gold,G6400T(G1),Comet Lake,3.4GHz,4MB,35W
75,ASROCK,Celeron,G5925(G1),Comet Lake,3.6GHz,4MB,58W
76,ASROCK,Celeron,G5920(G1),Comet Lake,3.5GHz,2MB,58W
77,ASROCK,Celeron,G5905(G1),Comet Lake,3.5GHz,4MB,58W
78,ASROCK,Celeron,G5905T (G1),Comet Lake,3.3GHz,4MB,35W
79,ASROCK,Celeron,G5900(G1),Comet Lake,3.4GHz,2MB,58W
80,ASROCK,Celeron,G5900T(G1),Comet Lake,3.2GHz,2MB,35W
