,Manufacturer,Family,Model,Core,Frequency,Cache,CPU Rev.,Power
0,ASROCK,Ryzen Threadripper,TR 2990WX (YD299XAZUIHAF),Colfax,3.0GHz,16MB,B2,250W
1,ASROCK,Ryzen Threadripper,TR 2970WX (YD297XAZUHCAF),Colfax,3.0GHz,,,250W
2,ASROCK,Ryzen Threadripper,TR 2950X (YD295XA8UGAAF),Colfax,3.5GHz,8MB,B2,180W
3,ASROCK,Ryzen Threadripper,TR 2920X (YD292XA8UC9AF),Colfax,3.5GHz,,,180W
4,ASROCK,Ryzen Threadripper,TR 1950X (YD195XA8UGAAE),Summit SP3r2,3.4GHz,8MB,B1,180W
5,ASROCK,Ryzen Threadripper,TR 1920X (YD192XA8UC9AE),Summit SP3r2,3.5GHz,6MB,B1,180W
6,ASROCK,Ryzen Threadripper,TR 1920 (YD1920A9UC9AE),Summit SP3r2,3.2GHz,6MB,B1,140W
7,ASROCK,Ryzen Threadripper,TR 1900X (YD190XA8U8QAE),Summit SP3r2,3.8GHz,4MB,B1,180W
