,Intel,Intel,Intel,Intel
,Name,Cores,Socket,Released
0,Core i3-1000G1,2 / 4,BGA 1440,"Aug 1st, 2019"
1,Core i3-1000G4,2 / 4,BGA 1440,"Aug 1st, 2019"
2,Core i3-1005G1,2 / 4,BGA 1526,"Aug 1st, 2019"
3,Core i3-10110U,2 / 4,BGA 1440,"Aug 21st, 2019"
4,Core i3-10110Y,2 / 4,BGA 1440,"Aug 21st, 2019"
5,Core i3-9100F,4,Socket 1151,"Apr 23rd, 2019"
6,Core i3-9300,4,Socket 1151,"Apr 23rd, 2019"
7,Core i3-9320,4,Socket 1151,"Apr 23rd, 2019"
8,Core i3-9350K,4,Socket 1151,"Apr 23rd, 2019"
9,Core i3-9350KF,4,Socket 1151,"Jan 8th, 2019"
10,Core i5-10210U,4 / 8,BGA 1440,"Aug 21st, 2019"
11,Core i5-10210Y,4 / 8,BGA 1440,"Aug 21st, 2019"
12,Core i5-1030G4,4 / 8,BGA 1440,"Aug 1st, 2019"
13,Core i5-1030G7,4 / 8,BGA 1440,"Aug 1st, 2019"
14,Core i5-10310Y,4 / 8,BGA 1440,"Aug 21st, 2019"
15,Core i5-1035G1,4 / 8,BGA 1526,"Aug 1st, 2019"
16,Core i5-1035G4,4 / 8,BGA 1526,"Aug 1st, 2019"
17,Core i5-1035G7,4 / 8,BGA 1526,"Aug 1st, 2019"
18,Core i5-9400F,6,Socket 1151,"Jan 8th, 2019"
19,Core i5-9500F,6,Socket 1151,"Apr 23rd, 2019"
20,Core i5-9600KF,6,Socket 1151,"Jan 8th, 2019"
21,Core i7-10510U,4 / 8,BGA 1440,"Aug 21st, 2019"
22,Core i7-10510Y,4 / 8,BGA 1440,"Aug 21st, 2019"
23,Core i7-1060G7,4 / 8,BGA 1440,"Aug 1st, 2019"
24,Core i7-1065G7,4 / 8,BGA 1526,"Aug 1st, 2019"
25,Core i7-1068NG7,4 / 8,BGA 1526,"Aug 1st, 2019"
26,Core i7-10710U,6 / 12,BGA 1440,"Aug 21st, 2019"
27,Core i7-9700,8,Socket 1151,"Apr 23rd, 2019"
28,Core i7-9700F,8,Socket 1151,"Apr 23rd, 2019"
29,Core i7-9700KF,8,Socket 1151,"Jan 8th, 2019"
30,Core i7-9750H,6 / 12,BGA 1440,"Apr 23rd, 2019"
31,Core i7-9750HF,6 / 12,BGA 1440,"Apr 23rd, 2019"
32,Core i7-9850H,6 / 12,BGA 1440,"Apr 23rd, 2019"
33,Core i7-9850HE,6 / 12,BGA 1440,Jun 2019
34,Core i7-9850HL,6 / 12,BGA 1440,Jun 2019
35,Core i9-10900X,10 / 20,Socket 2066,"Oct 19th, 2019"
36,Core i9-10920X,12 / 24,Socket 2066,"Oct 19th, 2019"
37,Core i9-10940X,14 / 28,Socket 2066,"Oct 19th, 2019"
38,Core i9-10980XE,18 / 36,Socket 2066,"Oct 19th, 2019"
39,Core i9-9880H,8 / 16,BGA 1440,"Apr 23rd, 2019"
40,Core i9-9900,8 / 16,Socket 1151,"Apr 23rd, 2019"
41,Core i9-9900KF,8 / 16,Socket 1151,"Jan 8th, 2019"
42,Core i9-9900KS,8 / 16,Socket 1151,"Oct 28th, 2019"
43,Core i9-9980HK,8 / 16,BGA 1440,"Apr 23rd, 2019"
44,Pentium Gold G5620,2 / 4,Socket 1151,"Feb 20th, 2019"
45,Xeon Platinum 9221,32 / 64,BGA 5903,"Apr 2nd, 2019"
46,Xeon Platinum 9222,32 / 64,BGA 5903,"Apr 2nd, 2019"
47,Xeon Platinum 9242,48 / 96,BGA 5903,"Apr 2nd, 2019"
48,Xeon Platinum 9282,56 / 112,BGA 5903,"Apr 2nd, 2019"
