,Manufacturer,Family,Model,Core,Frequency,Cache,CPU Rev.,Power
0,ASROCK,A10,AD680BWOA44HL,Richland,4100MHz,2MBx2,A1,100W
1,ASROCK,A10,AD680KWOA44HL,Richland,4100MHz,2MBx2,A1,100W
2,ASROCK,A10,AD679KWOA44HL,Richland,4000MHz,2MBx2,A1,100W
3,ASROCK,A10,AD679BWOA44HL,Richland,4000MHz,2MBx2,A1,100W
4,ASROCK,A10,AD6700OKA44HL,Richland,3700MHz,2MBx2,A1,65W
5,ASROCK,A10,AD670TYHA44HL,Richland,2500MHz,2MBx2,A1,45W
6,ASROCK,A10,AD580KWOA44HJ,Trinity,3800MHz,2MBx2,A1,100W
7,ASROCK,A10,AD5700OKA44HJ,Trinity,3400MHz,2MBx2,A1,65W
8,ASROCK,A8,AD660KWOA44HL,Richland,3900MHz,2MBx2,A1,100W
9,ASROCK,A8,AD650TYHA44HL,Richland,2100MHz,2MBx2,A1,45W
10,ASROCK,A8,AD6500OKA44HL,Richland,3500MHz,2MBx2,A1,65W
11,ASROCK,A8,AD560KWOA44HJ,Trinity,3600MHz,2MBx2,A1,100W
12,ASROCK,A8,AD5500OKA44HJ,Trinity,3200MHz,2MBx2,A1,65W
13,ASROCK,A6,AD642BOKA23HL,Richland,4000MHz,1MB,A1,65W
14,ASROCK,A6,AD642KOKA23HL,Richland,4000MHz,1MB,A1,65W
15,ASROCK,A6,AD640BOKA23HL,Richland,3900MHz,1MB,A1,65W
16,ASROCK,A6,AD640KOKA23HL,Richland,3900MHz,1MB,A1,65W
17,ASROCK,A6,AD540BOKA23HJ,Trinity,3800MHz,1MBx2,A1,65W
18,ASROCK,A6,AD540KOKA23HJ,Trinity,3600MHz,1MBx2,A1,65W
19,ASROCK,A4,AD7300OKA23HL,Richland,3800MHz,1MB,A1,65W
20,ASROCK,A4,AD632BOKA23HL,,3800MHz,1MB,A1,65W
21,ASROCK,A4,AD6320OKA23HL,Richland,3800MHz,1MB,A1,65W
22,ASROCK,A4,AD630BOKA23HL,Richland,3700MHz,1MB,A1,65W
23,ASROCK,A4,AD6300OKA23HL,Richland,3700MHz,1MB,A1,65W
24,ASROCK,A4,AD5300OKA23HJ,Trinity,3400MHz,1MBx2,A1,65W
25,ASROCK,A4,AD4020OKA23HL,Richland,3200MHz,1MB,A1,65W
26,ASROCK,A4,AD4000OKA23HL,Richland,3200MHz,1MB,A1,65W
27,ASROCK,Athlon II X4,AD760KWOA44HL,Richland,3800MHz,2MBx2,A1,100W
28,ASROCK,Athlon II X4,AD750KWOA44HJ,Trinity,3400MHz,2MBx2,A1,100W
29,ASROCK,Athlon II X4,AD750XOKA44HL,Richland,3400MHz,2MBx2,A1,65W
30,ASROCK,Athlon II X4,AD740XOKA44HJ,Trinity,3200MHz,2MBx2,A1,65W
31,ASROCK,Athlon II X4,AD730XOKA44HJ,Trinity,2800MHz,2MBx2,A1,65W
32,ASROCK,Athlon II X2,AD370KOKA23HL,Richland,4000MHz,1MB,A1,65W
33,ASROCK,Athlon X2,AD350XOKA23HL,Richland,3500MHz,1MB,A1,65W
34,ASROCK,Athlon X2,AD340XOKA23HJ,Trinity,3200MHz,1MB,A1,65W
