,AMD,AMD,AMD,AMD
,Name,Cores,Socket,Released
0,A6-9120C SoC,2,Socket FT4,"Jan 7th, 2019"
1,A6-9220C SoC,2,Socket FT4,"Jan 7th, 2019"
2,A6-9400,2,Socket AM4,"Mar 16th, 2019"
3,Athlon 3000G,2 / 4,Socket AM4,"Nov 20th, 2019"
4,Athlon 300U,2 / 4,Socket FP5,"Jan 6th, 2019"
5,Athlon PRO 300U,2 / 4,Socket FP5,"Apr 8th, 2019"
6,EPYC 7232P,8 / 16,Socket SP3,"Aug 7th, 2019"
7,EPYC 7252,8 / 16,Socket SP3,"Aug 7th, 2019"
8,EPYC 7262,8 / 16,Socket SP3,"Aug 7th, 2019"
9,EPYC 7272,12 / 24,Socket SP3,"Aug 7th, 2019"
10,EPYC 7282,16 / 32,Socket SP3,"Aug 7th, 2019"
11,EPYC 7302,16 / 32,Socket SP3,"Aug 7th, 2019"
12,EPYC 7302P,16 / 32,Socket SP3,"Aug 7th, 2019"
13,EPYC 7352,24 / 48,Socket SP3,"Aug 7th, 2019"
14,EPYC 7402,24 / 48,Socket SP3,"Aug 7th, 2019"
15,EPYC 7402P,24 / 48,Socket SP3,"Aug 7th, 2019"
16,EPYC 7452,32 / 64,Socket SP3,"Aug 7th, 2019"
17,EPYC 7502,32 / 64,Socket SP3,"Aug 7th, 2019"
18,EPYC 7502P,32 / 64,Socket SP3,"Aug 7th, 2019"
19,EPYC 7542,32 / 64,Socket SP3,"Aug 7th, 2019"
20,EPYC 7552,48 / 96,Socket SP3,"Aug 7th, 2019"
21,EPYC 7642,48 / 96,Socket SP3,"Aug 7th, 2019"
22,EPYC 7702,64 / 128,Socket SP3,"Aug 7th, 2019"
23,EPYC 7702P,64 / 128,Socket SP3,"Aug 7th, 2019"
24,EPYC 7742,64 / 128,Socket SP3,"Aug 7th, 2019"
25,EPYC 7H12,64 / 128,Socket SP3,"Sep 18th, 2019"
26,Ryzen 3 3200G,4,Socket AM4,"Jul 7th, 2019"
27,Ryzen 3 3200GE,4,Socket AM4,"Jul 7th, 2019"
28,Ryzen 3 3200U,2 / 4,Socket FP5,"Jan 6th, 2019"
29,Ryzen 3 3300U,4,Socket FP5,"Jan 6th, 2019"
30,Ryzen 3 PRO 2300U,4,Socket FP5,"Jan 8th, 2019"
31,Ryzen 3 PRO 3200GE,4,Socket AM4,"Sep 30th, 2019"
32,Ryzen 3 PRO 3300U,4,Socket FP5,"Apr 8th, 2019"
33,Ryzen 5 1600AF,6 / 12,Socket AM4,"Oct 11th, 2019"
34,Ryzen 5 3400G,4 / 8,Socket AM4,"Jul 7th, 2019"
35,Ryzen 5 3400GE,4 / 8,Socket AM4,"Jul 7th, 2019"
36,Ryzen 5 3500U,4 / 8,Socket FP5,"Jan 6th, 2019"
37,Ryzen 5 3500X,6,Socket AM4,"Sep 24th, 2019"
38,Ryzen 5 3550H,4 / 8,Socket FP5,"Jan 6th, 2019"
39,Ryzen 5 3580U,4 / 8,Socket FP5,"Oct 22nd, 2019"
40,Ryzen 5 3600,6 / 12,Socket AM4,"Jul 7th, 2019"
41,Ryzen 5 3600X,6 / 12,Socket AM4,"Jul 7th, 2019"
42,Ryzen 5 3600XT,6 / 12,Socket AM4,"Jul 7th, 2019"
43,Ryzen 5 PRO 2500U,4 / 8,Socket FP5,"Jan 8th, 2019"
44,Ryzen 5 PRO 3400GE,4 / 8,Socket AM4,"Sep 30th, 2019"
45,Ryzen 5 PRO 3500U,4 / 8,Socket FP5,"Apr 8th, 2019"
46,Ryzen 7 2700X 50th Anniversary,8 / 16,Socket AM4,"Apr 29th, 2019"
47,Ryzen 7 3700U,4 / 8,Socket FP5,"Jan 6th, 2019"
48,Ryzen 7 3700X,8 / 16,Socket AM4,"Jul 7th, 2019"
49,Ryzen 7 3750H,4 / 8,Socket FP5,"Jan 6th, 2019"
50,Ryzen 7 3780U,4 / 8,Socket FP5,"Oct 22nd, 2019"
51,Ryzen 7 3800X,8 / 16,Socket AM4,"Jul 7th, 2019"
52,Ryzen 7 PRO 3700U,4 / 8,Socket FP5,"Apr 8th, 2019"
53,Ryzen 9 3900X,12 / 24,Socket AM4,"Jul 7th, 2019"
54,Ryzen 9 3950X,16 / 32,Socket AM4,"Nov 25th, 2019"
55,Ryzen Threadripper 3960X,24 / 48,Socket TRX4,"Nov 25th, 2019"
56,Ryzen Threadripper 3970X,32 / 64,Socket TRX4,"Nov 25th, 2019"
