Item Name,Part No,CPU Socket,Chipset,Manufacturer URL
ASUS Pro WS X570-ACE,,AM4,X570,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/Pro-WS-X570-ACE/
ASUS Pro WS C246-ACE,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/Pro-WS-C246-ACE/
ASUS P10S-M WS/IPMI-O,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/P10S-M-WS-IPMI-O/
ASUS ROG Strix X570-E Gaming,,,,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-x570-e-gaming-model/
ASUS ROG Strix X570-I Gaming,,,,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-x570-i-gaming-model/
ASUS ROG Crosshair VIII Formula,,,,https://rog.asus.com/my/motherboards/rog-crosshair/rog-crosshair-viii-formula-model/
ASUS ROG Zenith Extreme Alpha,90MB10G0-M0UAY0,R4,X399,https://rog.asus.com/my/motherboards/rog-zenith/rog-zenith-extreme-alpha-model/
ASUS H61M-K,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Business/H61MK/
ASUS PRIME H310M-K R2.0,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-H310M-K-R2-0/
ASUS PRIME X399-A,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-X399-A/
ASUS WS Z390 PRO,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/WS-Z390-PRO/
ASUS TUF GAMING B550-PLUS,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B550-PLUS/
