Item Name,Part No,CPU Socket,Chipset,Manufacturer URL
ASUS ROG CROSSHAIR X670E GENE,,,,https://rog.asus.com/my/motherboards/rog-crosshair/rog-crosshair-x670e-gene-model/
ASUS PRIME B460M-K/CSM,,LGA 1200,B460,https://www.asus.com/my/Motherboards-Components/Motherboards/CSM/PRIME-B460M-K-CSM/
ASUS ROG MAXIMUS Z690 HERO EVA EDITION,,,,https://rog.asus.com/my/motherboards/rog-maximus/rog-maximus-z690-hero-eva-edition-model/
ASUS Pro Q670M-C-CSM,,LGA1700,Q67,https://www.asus.com/my/Motherboards-Components/Motherboards/CSM/Pro-Q670M-C-CSM/
ASUS TUF GAMING X570-PLUS,,AM4,X570,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-X570-PLUS/
ASUS PRIME H610M-E D4-CSM,,LGA 1700,H61,https://www.asus.com/my/Motherboards-Components/Motherboards/CSM/PRIME-H610M-E-D4-CSM/
ASUS ProArt B660-CREATOR D4,,LGA 1700,B660,https://www.asus.com/my/Motherboards-Components/Motherboards/ProArt/ProArt-B660-CREATOR-D4/
ASUS PRIME B660M-K D4,,LGA 1700,B660,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-B660M-K-D4/
ASUS PRIME H610M-E D4,,LGA 1700,H61,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-H610M-E-D4/
ASUS PRIME H610M-K D4,,LGA 1700,H61,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-H610M-K-D4/
ASUS PRIME H670-PLUS D4,,LGA 1700,H67,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-H670-PLUS-D4/
ASUS PRIME B660M-A WIFI D4,,LGA 1700,B660,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-B660M-A-WIFI-D4/
ASUS TUF GAMING B660M-PLUS WIFI D4,,LGA 1700,B660,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B660M-PLUS-WIFI-D4/
ASUS TUF GAMING B660M-PLUS WIFI,,LGA 1700,B660,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B660M-PLUS-WIFI/
ASUS ROG STRIX B660-G GAMING WIFI,90MB18Y0-M0AAY0,LGA 1700,B660,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b660-g-gaming-wifi-model/
ASUS ROG STRIX B660-I GAMING WIFI,90MB19C0-M0AAY0,LGA 1700,B660,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b660-i-gaming-wifi-model/
ASUS ROG STRIX B660-A GAMING WIFI D4,90MB18S0-M0AAY0,LGA 1700,B660,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b660-a-gaming-wifi-d4-model/
ASUS ROG STRIX B660-F GAMING WIFI,90MB18R0-M0AAY0,LGA 1700,B660,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b660-f-gaming-wifi-model/
ASUS TUF GAMING H670-PRO WIFI D4,,LGA 1700,H67,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-H670-PRO-WIFI-D4/
ASUS TUF GAMING B660-PLUS WIFI D4,,LGA 1700,B660,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B660-PLUS-WIFI-D4/
ASUS ROG MAXIMUS Z690 FORMULA,,,,https://rog.asus.com/my/motherboards/rog-maximus/rog-maximus-z690-formula-model/
ASUS PRIME Z690-A,,LGA 1700,Z690,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-Z690-A/
ASUS ProArt Z690-CREATOR WIFI,,LGA 1700,Z690,https://www.asus.com/my/Motherboards-Components/Motherboards/ProArt/ProArt-Z690-CREATOR-WIFI/
ASUS ROG STRIX Z690-E GAMING WIFI,90MB18J0-M0AAY0,LGA 1700,Z690,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-z690-e-gaming-wifi-model/
ASUS TUF GAMING Z690-PLUS WIFI D4,,LGA 1700,Z690,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-Z690-PLUS-WIFI-D4/
ASUS ROG STRIX Z690-I GAMING WIFI,90MB1910-M0AAY0,LGA 1700,Z690,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-z690-i-gaming-wifi-model/
ASUS ROG STRIX Z690-G GAMING WIFI,90MB19G0-M0AAY0,LGA 1700,Z690,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-z690-g-gaming-wifi-model/
ASUS ROG STRIX Z690-A GAMING WIFI D4,90MB18K0-M0AAY0,LGA 1700,Z690,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-z690-a-gaming-wifi-d4-model/
ASUS ROG STRIX Z690-F GAMING WIFI,90MB18M0-M0AAY0,LGA 1700,Z690,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-z690-f-gaming-wifi-model/
ASUS ROG MAXIMUS Z690 EXTREME,,,,https://rog.asus.com/my/motherboards/rog-maximus/rog-maximus-z690-extreme-model/
ASUS ROG MAXIMUS Z690 EXTREME GLACIAL,,,,https://rog.asus.com/my/motherboards/rog-maximus/rog-maximus-z690-extreme-glacial-model/
ASUS ROG MAXIMUS Z690 HERO,,,,https://rog.asus.com/my/motherboards/rog-maximus/rog-maximus-z690-hero-model/
ASUS ProArt X570-CREATOR WIFI,,AM4,X570,https://www.asus.com/my/Motherboards-Components/Motherboards/ProArt/ProArt-X570-CREATOR-WIFI/
ASUS ROG STRIX X570-E GAMING WIFI II,,,,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-x570-e-gaming-wifi-ii-model/
ASUS Prime X299-A II,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/Prime-X299-A-II/
ASUS ROG CROSSHAIR VIII EXTREME,,,,https://rog.asus.com/my/motherboards/rog-crosshair/rog-crosshair-viii-extreme-model/
ASUS PRIME B550M-A/CSM,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/CSM/PRIME-B550M-A-CSM/
ASUS PRIME X570-PRO/CSM,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-X570-PRO-CSM/
ASUS PRIME X570-P,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-X570-P/
ASUS PRIME X570-PRO,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-X570-PRO/
ASUS ROG STRIX Z590-A GAMING WIFI II,90MB19T0-M0UAY0,LGA 1200,Z590,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-z590-a-gaming-wifi-ii-model/
ASUS Pro H410T/CSM,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Business/Pro-H410T-CSM/
ASUS Pro Q470M-C/CSM,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/CSM/Pro-Q470M-C-CSM/
ASUS PRIME B460M-A R2.0,,LGA 1200,H470,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-B460M-A-R2-0/
ASUS TUF GAMING B560M-E,,LGA 1200,B560,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B560M-E/
ASUS PRIME H510M-E/CSM,,LGA 1200,H510,https://www.asus.com/my/Motherboards-Components/Motherboards/CSM/PRIME-H510M-E-CSM/
ASUS PRIME B360M-A/CSM,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-B360M-A-CSM/
ASUS Z590 WIFI GUNDAM EDITION,,LGA 1200,Z590,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/Z590-WIFI-GUNDAM-EDITION/
ASUS TUF GAMING A520M-PLUS II,,AM4,A520,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-A520M-PLUS-II/
ASUS Pro WS W480-ACE,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/Pro-WS-W480-ACE/
ASUS ROG MAXIMUS XIII APEX,,,,https://rog.asus.com/my/motherboards/rog-maximus/rog-maximus-xiii-apex-model/
ASUS EX-B560M-V5,,LGA 1200,B560,https://www.asus.com/my/Motherboards-Components/Motherboards/Expedition/EX-B560M-V5/
ASUS ProArt B550-CREATOR,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/ProArt/ProArt-B550-CREATOR/
ASUS PRIME H510M-K,,LGA 1200,H510,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-H510M-K/
ASUS TUF GAMING B560-PLUS WIFI,,LGA 1200,B560,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B560-PLUS-WIFI/
ASUS TUF GAMING B550-PLUS (WI-FI),,,,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B550-PLUS-WI-FI/
ASUS PRIME B560M-A,,R4,B560,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-B560M-A/
ASUS TUF GAMING B560M-PLUS WIFI,,R4,B560,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B560M-PLUS-WIFI/
ASUS PRIME B560M-K,,LGA 1200,B560,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-B560M-K/
ASUS PRIME H510M-D,,LGA 1200,H510,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-H510M-D/
ASUS PRIME H510M-E,,LGA 1200,H510,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-H510M-E/
ASUS TUF GAMING H570-PRO WIFI,,LGA 1200,H57,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-H570-PRO-WIFI/
ASUS PRIME H570M-PLUS,,LGA 1200,H57,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-H570M-PLUS/
ASUS ROG STRIX B560-G GAMING WIFI,90MB1750-M0AAY0,LGA 1200,B560,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b560-g-gaming-wifi-model/
ASUS ROG STRIX B560-I GAMING WIFI,90MB16Y0-M0AAY0,LGA 1200,B560,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b560-i-gaming-wifi-model/
