,AMD,AMD,AMD,AMD
,Name,Cores,Socket,Released
0,EPYC 72F3,8 / 16,Socket SP3,"Mar 15th, 2021"
1,EPYC 7313,16 / 32,Socket SP3,"Mar 15th, 2021"
2,EPYC 7313P,16 / 32,Socket SP3,"Mar 15th, 2021"
3,EPYC 7343,16 / 32,Socket SP3,"Mar 15th, 2021"
4,EPYC 73F3,16 / 32,Socket SP3,"Mar 15th, 2021"
5,EPYC 7413,24 / 48,Socket SP3,"Mar 15th, 2021"
6,EPYC 7443,24 / 48,Socket SP3,"Mar 15th, 2021"
7,EPYC 7443P,24 / 48,Socket SP3,"Mar 15th, 2021"
8,EPYC 7453,28 / 56,Socket SP3,"Mar 15th, 2021"
9,EPYC 74F3,24 / 48,Socket SP3,"Mar 15th, 2021"
10,EPYC 7513,32 / 64,Socket SP3,"Mar 15th, 2021"
11,EPYC 7543,32 / 64,Socket SP3,"Mar 15th, 2021"
12,EPYC 7543P,32 / 64,Socket SP3,"Mar 15th, 2021"
13,EPYC 75F3,32 / 64,Socket SP3,"Mar 15th, 2021"
14,EPYC 7643,48 / 96,Socket SP3,"Mar 15th, 2021"
15,EPYC 7663,56 / 112,Socket SP3,"Mar 15th, 2021"
16,EPYC 7713,64 / 128,Socket SP3,"Mar 15th, 2021"
17,EPYC 7713P,64 / 128,Socket SP3,"Mar 15th, 2021"
18,EPYC 7763,64 / 128,Socket SP3,"Mar 15th, 2021"
19,Ryzen 3 5300G,4 / 8,Socket AM4,"Apr 13th, 2021"
20,Ryzen 3 5300U,4 / 8,Socket FP6,"Jan 12th, 2021"
21,Ryzen 3 5400U,4 / 8,Socket FP6,"Jan 12th, 2021"
22,Ryzen 3 PRO 5350G,4 / 8,Socket AM4,"Jun 1st, 2021"
23,Ryzen 3 PRO 5350GE,4 / 8,Socket AM4,"Jun 1st, 2021"
24,Ryzen 3 PRO 5450U,4 / 8,Socket FP6,"Mar 16th, 2021"
25,Ryzen 5 5500U,6 / 12,Socket FP6,"Jan 12th, 2021"
26,Ryzen 5 5600G,6 / 12,Socket AM4,"Apr 13th, 2021"
27,Ryzen 5 5600U,6 / 12,Socket FP6,"Jan 12th, 2021"
28,Ryzen 5 PRO 5650G,6 / 12,Socket AM4,"Jun 1st, 2021"
29,Ryzen 5 PRO 5650GE,6 / 12,Socket AM4,"Jun 1st, 2021"
30,Ryzen 5 PRO 5650U,6 / 12,Socket FP6,"Mar 16th, 2021"
31,Ryzen 7 5700G,8 / 16,Socket AM4,"Apr 13th, 2021"
32,Ryzen 7 5700U,8 / 16,Socket FP6,"Jan 12th, 2021"
33,Ryzen 7 5800,8 / 16,Socket AM4,"Jan 12th, 2021"
34,Ryzen 7 5800G,8 / 16,Socket AM4,Unknown
35,Ryzen 7 5800H,8 / 16,Socket FP6,"Jan 12th, 2021"
36,Ryzen 7 5800HS,8 / 16,Socket FP6,"Jan 12th, 2021"
37,Ryzen 7 5800U,8 / 16,Socket FP6,"Jan 12th, 2021"
38,Ryzen 7 PRO 5750G,8 / 16,Socket AM4,"Jun 1st, 2021"
39,Ryzen 7 PRO 5750GE,8 / 16,Socket AM4,"Jun 1st, 2021"
40,Ryzen 7 PRO 5850U,8 / 16,Socket FP6,"Mar 16th, 2021"
41,Ryzen 9 5900,12 / 24,Socket AM4,"Jan 12th, 2021"
42,Ryzen 9 5900HX,8 / 16,Socket FP6,"Jan 12th, 2021"
43,Ryzen 9 5980HS,8 / 16,Socket FP6,"Jan 12th, 2021"
44,Ryzen Threadripper 3980X,48 / 96,Socket TRX4,Never Released
