,Manufacturer,Family,Number,Core,Frequency,Cache,Power
105,ASROCK,Core i3,i3-7320(S0),Kaby Lake,4.1GHz,4MB,51W
106,ASROCK,Core i3,i3-7300(S0),Kaby Lake,4.0GHz,4MB,51W
107,ASROCK,Core i3,i3-7300T(S0),Kaby Lake,3.5GHz,4MB,35W
108,ASROCK,Core i3,i3-7100(S0),Kaby Lake,3.9GHz,3MB,51W
109,ASROCK,Core i3,i3-7100T(S0),Kaby Lake,3.4GHz,3MB,35W
110,ASROCK,Core i3,i3-6320(S0),Skylake S,3.9GHz,4MB,51W
111,ASROCK,Core i3,i3-6300(S0),Skylake S,3.8GHz,4MB,51W
112,ASROCK,Core i3,i3-6300T(S0),Skylake S,3.3GHz,4MB,35W
113,ASROCK,Core i3,i3-6100(S0),Skylake S,3.7GHz,3MB,51W
114,ASROCK,Core i3,i3-6100T(S0),Skylake S,3.2GHz,3MB,35W
115,ASROCK,Core i3,i3-6098P (R0),Skylake S,3.6GHz,3MB,54W
116,ASROCK,Pentium Gold,G5600T(B0),Coffee Lake,3.3GHz,4MB,35W
117,ASROCK,Pentium Gold,G5420T(B0),Coffee Lake,3.2GHz,4MB,35W
118,ASROCK,Pentium Gold,G5600F(B0),Coffee Lake,3.9GHz,4MB,54W
119,ASROCK,Pentium Gold,G5420(U0),Coffee Lake,3.8GHz,4MB,58W
120,ASROCK,Pentium Gold,G5420T(U0),Coffee Lake,3.2GHz,4MB,35W
121,ASROCK,Pentium Gold,G5420(B0),Coffee Lake,3.8GHz,4MB,54W
122,ASROCK,Pentium Gold,G5620(B0),Coffee Lake,4.0GHz,4MB,54W
123,ASROCK,Pentium Gold,G5600(B0),Coffee Lake,3.9GHz,4MB,54W
124,ASROCK,Pentium Gold,G5500(B0),Coffee Lake,3.8GHz,4MB,54W
125,ASROCK,Pentium Gold,G5500T(B0),Coffee Lake,3.2GHz,4MB,35W
126,ASROCK,Pentium Gold,G5400(U0),Coffee Lake,3.7GHz,4MB,58W
127,ASROCK,Pentium Gold,G5400T(U0),Coffee Lake,3.1GHz,4MB,35W
128,ASROCK,Pentium Gold,G5400T(B0),Coffee Lake,3.1GHz,4MB,35W
129,ASROCK,Pentium Gold,G5400(B0),Coffee Lake,3.7GHz,4MB,54W
130,ASROCK,Celeron,G4920(B0),Coffee Lake,3.2GHz,2MB,54W
131,ASROCK,Celeron,G4930T(B0),Coffee Lake,3.0GHz,2MB,35W
132,ASROCK,Celeron,G4950(B0),Coffee Lake,3.3GHz,2MB,54W
133,ASROCK,Celeron,G4930(B0),Coffee Lake,3.2GHz,2MB,54W
134,ASROCK,Celeron,G4900(B0),Coffee Lake,3.1GHz,2MB,54W
135,ASROCK,Celeron,G4900T(B0),Coffee Lake,2.9GHz,2MB,35W
136,ASROCK,Pentium,G4600T(S0),Kaby Lake,3.0GHz,3MB,35W
137,ASROCK,Pentium,G4560(B0),Kaby Lake,3.5GHz,3MB,54W
138,ASROCK,Pentium,G4560T(S0),Kaby Lake,2.9GHz,3MB,35W
139,ASROCK,Pentium,G4620(S0),Kaby Lake,3.7GHz,3MB,51W
140,ASROCK,Pentium,G4600(S0),Kaby Lake,3.6GHz,3MB,51W
141,ASROCK,Pentium,G4520(S0),Skylake S,3.6GHz,3MB,51W
142,ASROCK,Pentium,G4500(S0),Skylake S,3.5GHz,3MB,51W
143,ASROCK,Pentium,G4500T(S0),Skylake S,3.0GHz,3MB,35W
144,ASROCK,Pentium,G4400(S0),Skylake S,3.3GHz,3MB,54W
145,ASROCK,Pentium,G4400T(S0),Skylake S,2.9GHz,3MB,35W
146,ASROCK,Celeron,G3950(S0),Kaby Lake,3.0GHz,2MB,51W
147,ASROCK,Celeron,G3930(S0),Kaby Lake,2.9GHz,2MB,51W
148,ASROCK,Celeron,G3930TE,Kaby Lake,2.7GHz,2MB,35W
149,ASROCK,Celeron,G3930T(S0),Kaby Lake,2.7GHz,2MB,35W
150,ASROCK,Celeron,G3920(S0),Skylake S,2.9GHz,2MB,51W
151,ASROCK,Celeron,G3900(S0),Skylake S,2.8GHz,2MB,51W
152,ASROCK,Celeron,G3900T(S0),Skylake S,2.6GHz,2MB,35W
