,Manufacturer,Family,Number,Core,Frequency,Cache,Power
0,ASROCK,Xeon,E3-1280 v6(B0),Kaby Lake,3.9GHz,8MB,72W
1,ASROCK,Xeon,E3-1280 v6(B0),Kaby Lake,3.9GHz,6MB,72W
2,ASROCK,Xeon,E3-1275 v6(B0),Kaby Lake,3.8GHz,8MB,73W
3,ASROCK,Xeon,E3-1275 v6(B0),Kaby Lake,3.8GHz,6MB,73W
4,ASROCK,Xeon,E3-1270 v6(B0),Kaby Lake,3.8GHz,8MB,72W
5,ASROCK,Xeon,E3-1270 v6(B0),Kaby Lake,3.8GHz,6MB,72W
6,ASROCK,Xeon,E3-1245 v6(B0),Kaby Lake,3.7GHz,8MB,73W
7,ASROCK,Xeon,E3-1245 v6(B0),Kaby Lake,3.7GHz,6MB,73W
8,ASROCK,Xeon,E3-1240 v6(B0),Kaby Lake,3.7GHz,8MB,72W
9,ASROCK,Xeon,E3-1240 v6(B0),Kaby Lake,3.7GHz,6MB,72W
10,ASROCK,Xeon,E3-1230 v6(B0),Kaby Lake,3.5GHz,8MB,72W
11,ASROCK,Xeon,E3-1230 v6(B0),Kaby Lake,3.5GHz,6MB,72W
12,ASROCK,Xeon,E3-1225 v6(B0),Kaby Lake,3.3GHz,8MB,73W
13,ASROCK,Xeon,E3-1225 v6(B0),Kaby Lake,3.3GHz,6MB,73W
14,ASROCK,Xeon,E3-1220 v6(B0),Kaby Lake,3.0GHz,8MB,72W
15,ASROCK,Xeon,E3-1220 v6(B0),Kaby Lake,3.0GHz,6MB,72W
16,ASROCK,Xeon,E3-1280 v5(R0),Skylake S,3.7GHz,8MB,80W
17,ASROCK,Xeon,E3-1275 v5(R0),Skylake S,3.6GHz,8MB,80W
18,ASROCK,Xeon,E3-1270 v5(R0),Skylake S,3.6GHz,8MB,80W
19,ASROCK,Xeon,E3-1260L v5(R0),Skylake S,2.9GHz,8MB,45W
20,ASROCK,Xeon,E3-1245 v5(R0),Skylake S,3.5GHz,8MB,80W
21,ASROCK,Xeon,E3-1240 v5(R0),Skylake S,3.5GHz,8MB,80W
22,ASROCK,Xeon,E3-1240L v5(R0),Skylake S,2.1GHz,8MB,25W
23,ASROCK,Xeon,E3-1235L v5(R0),Skylake S,2.0GHz,8MB,25W
24,ASROCK,Xeon,E3-1225 v5(R0),Skylake S,3.3GHz,8MB,80W
25,ASROCK,Xeon,E3-1230 v5(R0),Skylake S,3.4GHz,8MB,80W
26,ASROCK,Xeon,E3-1220 v5(R0),Skylake S,3.0GHz,8MB,80W
27,ASROCK,Core i9,i9-9900KS(R0),Coffee Lake,4.0GHz,16MB,127W
28,ASROCK,Core i9,i9-9900KF(P0),Coffee Lake,3.6GHz,16MB,95W
29,ASROCK,Core i9,i9-9900K(P0),Coffee Lake,3.6GHz,16MB,95W
30,ASROCK,Core i9,i9-9900KF(R0),Coffee Lake,3.6GHz,16MB,95W
31,ASROCK,Core i9,i9-9900K(R0),Coffee Lake,3.6GHz,16MB,95W
32,ASROCK,Core i9,i9-9900(R0),Coffee Lake,3.1GHz,16MB,65W
33,ASROCK,Core i9,i9-9900T(R0),Coffee Lake,2.1GHz,16MB,35W
34,ASROCK,Core i7,i7-9700K(R0),Coffee Lake,3.6GHz,12MB,95W
35,ASROCK,Core i7,i7-9700T(R0),Coffee Lake,2.0GHz,12MB,32W
36,ASROCK,Core i7,i7-9700(R0),Coffee Lake,3.0GHz,12MB,65W
37,ASROCK,Core i7,i7-9700KF(R0),Coffee Lake,3.6GHz,12MB,95W
38,ASROCK,Core i7,i7-9700KF(P0),Coffee Lake,3.6GHz,12MB,95W
39,ASROCK,Core i7,i7-9700F(R0),Coffee Lake,3.0GHz,12MB,65W
40,ASROCK,Core i7,i7-9700K(P0),Coffee Lake,3.6GHz,12MB,95W
41,ASROCK,Core i7,i7-8700K(U0),Coffee Lake,3.7GHz,12MB,95W
42,ASROCK,Core i7,i7-8700(U0),Coffee Lake,3.2GHz,12MB,65W
43,ASROCK,Core i7,i7-8700T(U0),Coffee Lake,2.4GHz,12MB,35W
44,ASROCK,Core i7,i7-8086K,Coffee Lake,4.0GHz,12MB,95W
45,ASROCK,Core i7,i7-7700K(B0),Kaby Lake,4.2GHz,8MB,91W
46,ASROCK,Core i7,i7-7700(B0),Kaby Lake,3.6GHz,8MB,65W
47,ASROCK,Core i7,i7-7700T(B0),Kaby Lake,2.9GHz,8MB,35W
48,ASROCK,Core i7,i7-6700K(R0),Skylake S,4.0GHz,8MB,91W
49,ASROCK,Core i7,i7-6700(R0),Skylake S,3.4GHz,8MB,65W
50,ASROCK,Core i7,i7-6700T(R0),Skylake S,2.8GHz,8MB,35W
51,ASROCK,Core i5,i5-9600KF(P0),Coffee Lake,3.7GHz,9MB,95W
52,ASROCK,Core i5,i5-9600K(P0),Coffee Lake,3.7GHz,9MB,95W
53,ASROCK,Core i5,i5-9400F(U0),Coffee Lake,2.9GHz,9MB,65W
54,ASROCK,Core i5,i5-9400T(R0),Coffee Lake,1.8GHz,9MB,35W
55,ASROCK,Core i5,i5-9600T(U0),Coffee Lake,2.3GHz,9MB,35W
56,ASROCK,Core i5,i5-9600(U0),Coffee Lake,3.1GHz,9MB,65W
57,ASROCK,Core i5,i5-9500(U0),Coffee Lake,3.0GHz,9MB,65W
58,ASROCK,Core i5,i5-9400(P0),Coffee Lake,2.9GHz,9MB,65W
59,ASROCK,Core i5,i5-9500T(U0),Coffee Lake,2.2GHz,9MB,35W
60,ASROCK,Core i5,i5-9400(U0),Coffee Lake,2.9GHz,9MB,65W
61,ASROCK,Core i5,i5-9400F(P0),Coffee Lake,2.9GHz,9MB,65W
62,ASROCK,Core i5,i5-9400T(U0),Coffee Lake,1.8GHz,9MB,35W
63,ASROCK,Core i5,i5-9400(R0),Coffee Lake,2.9GHz,9MB,65W
64,ASROCK,Core i5,i5-9500F(U0),Coffee Lake,3.0GHz,9MB,65W
65,ASROCK,Core i5,i5-9600K(R0),Coffee Lake,3.7GHz,9MB,95W
66,ASROCK,Core i5,i5-9600KF(R0),Coffee Lake,3.7GHz,9MB,95W
67,ASROCK,Core i5,i5-9400F(R0),Coffee Lake,2.9GHz,9MB,65W
68,ASROCK,Core i5,i5-8600K(U0),Coffee Lake,3.6GHz,9MB,95W
69,ASROCK,Core i5,i5-8600(U0),Coffee Lake,3.1GHz,9MB,65W
70,ASROCK,Core i5,i5-8600T(U0),Coffee Lake,2.3GHz,9MB,35W
71,ASROCK,Core i5,i5-8500(U0),Coffee Lake,3GHz,9MB,65W
72,ASROCK,Core i5,i5-8500T(U0),Coffee Lake,2.1GHz,9MB,35W
73,ASROCK,Core i5,i5-8400(U0),Coffee Lake,2.8GHz,9MB,65W
74,ASROCK,Core i5,i5-8400T(U0),Coffee Lake,1.7GHz,9MB,35W
75,ASROCK,Core i5,i5-7600K(B0),Kaby Lake,3.8GHz,6MB,91W
76,ASROCK,Core i5,i5-7600(B0),Kaby Lake,3.5GHz,6MB,65W
77,ASROCK,Core i5,i5-7600T(B0),Kaby Lake,2.8GHz,6MB,35W
78,ASROCK,Core i5,i5-7500(B0),Kaby Lake,3.4GHz,6MB,65W
79,ASROCK,Core i5,i5-7500T(B0),Kaby Lake,2.7GHz,6MB,35W
80,ASROCK,Core i5,i5-7400(B0),Kaby Lake,3.0GHz,6MB,65W
81,ASROCK,Core i5,i5-7400T(B0),Kaby Lake,2.4GHz,6MB,35W
82,ASROCK,Core i5,i5-6600K(R0),Skylake S,3.5GHz,6MB,91W
83,ASROCK,Core i5,i5-6600(R0),Skylake S,3.3GHz,6MB,65W
84,ASROCK,Core i5,i5-6600T(R0),Skylake S,2.7GHz,6MB,35W
85,ASROCK,Core i5,i5-6500(R0),Skylake S,3.2GHz,6MB,65W
86,ASROCK,Core i5,i5-6500T(R0),Skylake S,2.5GHz,6MB,35W
87,ASROCK,Core i5,i5-6402P (R0),Skylake S,2.8GHz,6MB,65W
88,ASROCK,Core i5,i5-6400(R0),Skylake S,2.7GHz,6MB,65W
89,ASROCK,Core i5,i5-6400T(R0),Skylake S,2.2GHz,6MB,35W
90,ASROCK,Core i3,i3-8350K(B0),Coffee Lake,4.0GHz,8MB,91W
91,ASROCK,Core i3,i3-9350KF(B0),Coffee Lake,4GHz,8MB,91W
92,ASROCK,Core i3,I3-9100F(B0),Coffee Lake,3.6GHz,6MB,65W
93,ASROCK,Core i3,i3-9100F(U0),Coffee Lake,3.6GHz,6MB,65W
94,ASROCK,Core i3,i3-9300(B0),Coffee Lake,3.7GHz,8MB,62W
95,ASROCK,Core i3,i3-9100T(B0),Coffee Lake,3.1GHz,6MB,35W
96,ASROCK,Core i3,i3-9300T(B0),Coffee Lake,3.2GHz,8MB,35W
97,ASROCK,Core i3,i3-9350K(B0),Coffee Lake,4.0GHz,8MB,91W
98,ASROCK,Core i3,i3-9100(B0),Coffee Lake,3.6GHz,6MB,65W
99,ASROCK,Core i3,i3-8300(B0),Coffee Lake,3.7GHz,8MB,62W
100,ASROCK,Core i3,i3-8300T(B0),Coffee Lake,3.2GHz,8MB,35W
101,ASROCK,Core i3,i3-8100(B0),Coffee Lake,3.6GHz,6MB,65W
102,ASROCK,Core i3,i3-8100(U0),Coffee Lake,3.6GHz,6MB,65W
103,ASROCK,Core i3,i3-8100T(B0),Coffee Lake,3.1GHz,6MB,35W
104,ASROCK,Core i3,i3-7350K(S0),Kaby Lake,4.2GHz,4MB,60W
