,Manufacturer,Family,Number,Core,Frequency,Cache,Power
31,ASROCK,Core i7,i7-4790T(C0),Haswell-R,2.7GHz,8MB,45W
32,ASROCK,Core i7,i7-4785T(C0),Haswell-R,2.2GHz,8MB,35W
33,ASROCK,Core i7,i7-4771(C0),Haswell,3.5GHz,8MB,84W
34,ASROCK,Core i7,i7-4770K(C0),Haswell,3.5GHz,8MB,84W
35,ASROCK,Core i7,i7-4770(c0),Haswell,3.4GHz,8MB,84W
36,ASROCK,Core i7,i7-4770S(C0),Haswell,3.1GHz,8MB,65W
37,ASROCK,Core i7,i7-4770T,Haswell,2.5GHz,8MB,45W
38,ASROCK,Core i7,i7-4765T(C0),Haswell,2.0GHz,8MB,35W
39,ASROCK,Core i5,i5-5675C(G0),Broadwell,3.1GHz,4MB,65W
40,ASROCK,Core i5,i5-4690K(C0),Haswell-R,3.5GHz,6MB,88W
41,ASROCK,Core i5,i5-4690(C0),Haswell-R,3.5GHz,6MB,84W
42,ASROCK,Core i5,i5-4690S(C0),Haswell-R,3.2GHz,6MB,65W
43,ASROCK,Core i5,i5-4690T(C0),Haswell-R,2.5GHz,6MB,45W
44,ASROCK,Core i5,i5-4590(C0),Haswell-R,3.3GHz,6MB,84W
45,ASROCK,Core i5,i5-4590T(C0),Haswell-R,2.0GHz,6MB,35W
46,ASROCK,Core i5,i5-4590S(C0),Haswell-R,3.0GHz,6MB,65W
47,ASROCK,Core i5,i5-4460(C0),Haswell-R,3.2GHz,6MB,84W
48,ASROCK,Core i5,i5-4460S(C0),Haswell-R,2.9GHz,6MB,65W
49,ASROCK,Core i5,i5-4460T(C0),Haswell-R,1.9GHz,6MB,35W
50,ASROCK,Core i5,i5-4670K(C0),Haswell,3.4GHz,6MB,84W
51,ASROCK,Core i5,i5-4670(C0),Haswell,3.4GHz,6MB,84W
52,ASROCK,Core i5,i5-4670S(C0),Haswell,3.1GHz,6MB,65W
53,ASROCK,Core i5,i5-4670T(C0),Haswell,2.3GHz,6MB,45W
54,ASROCK,Core i5,i5-4570(C0),Haswell,3.2GHz,6MB,84W
55,ASROCK,Core i5,i5-4570S(C0),Haswell,2.9GHz,6MB,65W
56,ASROCK,Core i5,i5-4570T(C0),Haswell,2.9GHz,4MB,35W
57,ASROCK,Core i5,i5-4440(C0),Haswell,3.1GHz,6MB,84W
58,ASROCK,Core i5,i5-4440S(C0),Haswell,2.8GHz,6MB,65W
59,ASROCK,Core i5,i5-4430(C0),Haswell,3.0GHz,6MB,84W
60,ASROCK,Core i5,i5-4430S(C0),Haswell,2.7GHz,6MB,65W
61,ASROCK,Core i3,i3-4360(C0),Haswell-R,3.7GHz,4MB,54W
62,ASROCK,Core i3,i3-4370(C0),Haswell-R,3.8GHz,4MB,54W
63,ASROCK,Core i3,i3-4370T(C0),Haswell-R,3.3GHz,4MB,35W
64,ASROCK,Core i3,i3-4360T(C0),Haswell-R,3.2GHz,4MB,35W
65,ASROCK,Core i3,i3-4350(C0),Haswell-R,3.6GHz,4MB,54W
66,ASROCK,Core i3,i3-4350T(C0),Haswell-R,3.1GHz,4MB,35W
67,ASROCK,Core i3,i3-4170T(C0),Haswell-R,3.2GHz,3MB,35W
68,ASROCK,Core i3,i3-4170(C0),Haswell-R,3.7GHz,3MB,54W
69,ASROCK,Core i3,i3-4160(C0),Haswell-R,3.6GHz,3MB,54W
70,ASROCK,Core i3,i3-4160T(C0),Haswell-R,3.1GHz,3MB,35W
71,ASROCK,Core i3,i3-4150(C0),Haswell-R,3.5GHz,3MB,54W
72,ASROCK,Core i3,i3-4150T(C0),Haswell-R,3.0GHz,3MB,35W
73,ASROCK,Core i3,i3-4340(C0),Haswell,3.6GHz,4MB,54W
74,ASROCK,Core i3,i3-4330(C0),Haswell,3.5GHz,4MB,54W
75,ASROCK,Core i3,i3-4330T(C0),Haswell,3.0GHz,4MB,35W
76,ASROCK,Core i3,i3-4130(C0),Haswell,3.4GHz,3MB,54W
77,ASROCK,Core i3,i3-4130T(C0),Haswell,2.9GHz,3MB,35W
78,ASROCK,Pentium,G3470(C0),Haswell-R,3.6GHz,3MB,53W
79,ASROCK,Pentium,G3460T(C0),Haswell-R,3.0GHz,3MB,35W
80,ASROCK,Pentium,G3460(C0),Haswell-R,3.5GHz,3MB,53W
81,ASROCK,Pentium,G3450(C0),Haswell-R,3.4GHz,3MB,53W
82,ASROCK,Pentium,G3450T(C0),Haswell-R,2.9GHz,3MB,35W
83,ASROCK,Pentium,G3440(C0),Haswell-R,3.3GHz,3MB,53W
84,ASROCK,Pentium,G3440T(C0),Haswell-R,2.8GHz,3MB,35W
85,ASROCK,Pentium,G3260T(C0),Haswell-R,2.9GHz,3MB,35W
86,ASROCK,Pentium,G3260(C0),Haswell-R,3.3GHz,3MB,53W
87,ASROCK,Pentium,G3258(C0),Haswell-R,3.2GHz,3MB,53W
88,ASROCK,Pentium,G3250(C0),Haswell-R,3.2GHz,3MB,53W
89,ASROCK,Pentium,G3250T(C0),Haswell-R,2.8GHz,3MB,35W
90,ASROCK,Pentium,G3240(C0),Haswell-R,3.1GHz,3MB,53W
91,ASROCK,Pentium,G3240T(C0),Haswell-R,2.7GHz,3MB,35W
92,ASROCK,Pentium,G3220(C0),Haswell-R,3.0GHz,3MB,53W
93,ASROCK,Pentium,G3420(C0),Haswell,3.2GHz,3MB,53W
94,ASROCK,Pentium,G3430(C0),Haswell,3.3GHz,3MB,53W
95,ASROCK,Pentium,G3420T(C0),Haswell,2.7GHz,3MB,35W
96,ASROCK,Pentium,G3220(C0),Haswell,3.0GHz,3MB,53W
97,ASROCK,Pentium,G3220T(C0),Haswell,2.6GHz,3MB,35W
98,ASROCK,Celeron,G1850(C0),Haswell-R,2.9GHz,2MB,53W
99,ASROCK,Celeron,G1840(C0),Haswell-R,2.8GHz,2MB,53W
100,ASROCK,Celeron,G1840T(C0),Haswell-R,2.5GHz,2MB,35W
101,ASROCK,Celeron,G1830(C0),Haswell,2.8GHz,2MB,65W
102,ASROCK,Celeron,G1820(C0),Haswell,2.7GHz,2MB,65W
103,ASROCK,Celeron,G1820T(C0),Haswell,2.4GHz,2MB,35W
