,Manufacturer,Family,Number,Core,Frequency,Cache,Power
0,ASROCK,Xeon,E3-1285 v4(G0),Broadwell,3.5GHz,6MB,95W
1,ASROCK,Xeon,E3-1285L v4(G0),Broadwell,3.4GHz,6MB,65W
2,ASROCK,Xeon,E3-1265L v4(G0),Broadwell,2.3GHz,6MB,35W
3,ASROCK,Xeon,E3-1286 v3(C0),Haswell-R,3.7GHz,8MB,84W
4,ASROCK,Xeon,E3-1286L v3(C0),Haswell-R,3.2GHz,8MB,65W
5,ASROCK,Xeon,E3-1281 v3(C0),Haswell-R,3.7GHz,8MB,82W
6,ASROCK,Xeon,E3-1276 v3(C0),Haswell-R,3.5GHz,8MB,84W
7,ASROCK,Xeon,E3-1271 v3(C0),Haswell-R,3.6GHz,8MB,80W
8,ASROCK,Xeon,E3-1246 v3(C0),Haswell-R,3.5GHz,8MB,84W
9,ASROCK,Xeon,E3-1241 v3(C0),Haswell-R,3.5GHz,8MB,80W
10,ASROCK,Xeon,E3-1240L v3(C0),Haswell-R,2.0GHz,8MB,25W
11,ASROCK,Xeon,E3-1226 v3(C0),Haswell-R,3.3GHz,8MB,84W
12,ASROCK,Xeon,E3-1231 v3(C0),Haswell-R,3.4GHz,8MB,80W
13,ASROCK,Xeon,E3-1285 v3(C0),Haswell,3.6GHz,8MB,84W
14,ASROCK,Xeon,E3-1285L v3(C0),Haswell,3.1GHz,8MB,65W
15,ASROCK,Xeon,E3-1280 v3(C0),Haswell,3.6GHz,8MB,80W
16,ASROCK,Xeon,E3-1275 v3(C0),Haswell,3.5GHz,8MB,84W
17,ASROCK,Xeon,E3-1275L v3(C0),Haswell,2.9GHz,4MB,35W
18,ASROCK,Xeon,E3-1270 v3(C0),Haswell,3.5GHz,8MB,80W
19,ASROCK,Xeon,E3-1265L v3(C0),Haswell,2.5GHz,8MB,45W
20,ASROCK,Xeon,E3-1245 v3(C0),Haswell,3.5GHz,8MB,84W
21,ASROCK,Xeon,E3-1240 v3(C0),Haswell,3.4GHz,8MB,80W
22,ASROCK,Xeon,E3-1225 v3(C0),Haswell,3.2GHz,8MB,84W
23,ASROCK,Xeon,E3-1230 v3(C0),Haswell,3.3GHz,8MB,80W
24,ASROCK,Xeon,E3-1230L v3(C0),Haswell,1.8GHz,8MB,25W
25,ASROCK,Xeon,E3-1220 v3(C0),Haswell,3.1GHz,8MB,80W
26,ASROCK,Xeon,E3-1220L v3(C0),Haswell,1.6GHz,4MB,16W
27,ASROCK,Core i7,i7-5775C(G0),Broadwell,3.3GHz,6MB,65W
28,ASROCK,Core i7,i7-4790K(C0),Haswell-R,4.0GHz,8MB,88W
29,ASROCK,Core i7,i7-4790S(C0),Haswell-R,3.2GHz,8MB,65W
30,ASROCK,Core i7,i7-4790(C0),Haswell-R,3.6GHz,8MB,84W
