,Manufacturer,Family,Number,Core,Frequency,Cache,Power
50,ASROCK,Xeon,E5-1650 v2(S1),Ivy Bridge-EP,3.5GHz,12MB,130W
51,ASROCK,Xeon,E5-1650(C2),Sandy Bridge-EP,3.2GHz,12MB,130W
52,ASROCK,Xeon,E5-1650(C1),Sandy Bridge-EP,3.2GHz,12MB,130W
53,ASROCK,Xeon,E5-1620 v2(S1),Ivy Bridge-EP,3.7GHz,10MB,130W
54,ASROCK,Xeon,E5-1620(M1),Sandy Bridge-EP,3.6GHz,10MB,130W
55,ASROCK,Xeon,E5-1620(M0),Sandy Bridge-EP,3.6GHz,10MB,130W
56,ASROCK,Xeon,E5-1607(M1),Sandy Bridge-EP,3.0GHz,10MB,130W
57,ASROCK,Xeon,E5-1607(M0),Sandy Bridge-EP,3.0GHz,10MB,130W
58,ASROCK,Xeon,E5-1603(M1),Sandy Bridge-EP,2.8GHz,10MB,130W
59,ASROCK,Xeon,E5-1603(M0),Sandy Bridge-EP,2.8GHz,10MB,130W
60,ASROCK,Core i7,i7-4960X(S1),Ivy Bridge-E,3.6GHz,15MB,130W
61,ASROCK,Core i7,i7-4930K(S1),Ivy Bridge-E,3.4GHz,12MB,130W
62,ASROCK,Core i7,i7-4820K(S1),Ivy Bridge-E,3.7GHz,10MB,130W
63,ASROCK,Core i7,i7-3970X(C2),Sandy Bridge-E,3.5GHz,15MB,150W
64,ASROCK,Core i7,i7-3960X(C2),Sandy Bridge-E,3.3GHz,15MB,130W
65,ASROCK,Core i7,i7-3960X(C1),Sandy Bridge-E,3.3GHz,15MB,130W
66,ASROCK,Core i7,i7-3930K(C2),Sandy Bridge-E,3.2GHz,12MB,130W
67,ASROCK,Core i7,i7-3930K(C1),Sandy Bridge-E,3.2GHz,12MB,130W
68,ASROCK,Core i7,i7-3820(M0),Sandy Bridge-E,3.6GHz,10MB,130W
69,ASROCK,Core i7,i7-3820(M1),Sandy Bridge-E,3.6GHz,10MB,130W
