,Manufacturer,Family,Number,Core,Frequency,Cache,Power
0,ASROCK,Xeon,E5-4657L v2(C0),Ivy Bridge-EP,2.4GHz,30MB,115W
1,ASROCK,Xeon,E5-4650 v2(M1),Ivy Bridge-EP,2.4GHz,25MB,95W
2,ASROCK,Xeon,E5-4650(C1),Sandy Bridge-EP,2.7GHz,20MB,130W
3,ASROCK,Xeon,E5-4640 v2(M1),Ivy Bridge-EP,2.2GHz,20MB,95W
4,ASROCK,Xeon,E5-4627 v2(M1),Ivy Bridge-EP,3.3GHz,16MB,130W
5,ASROCK,Xeon,E5-4620 v2(M1),Ivy Bridge-EP,2.6GHz,20MB,95W
6,ASROCK,Xeon,E5-4620(C1),Sandy Bridge-EP,2.2GHz,16MB,95W
7,ASROCK,Xeon,E5-4610 v2(C0),Ivy Bridge-EP,2.3GHz,16MB,95W
8,ASROCK,Xeon,E5-4607 v2(S1),Ivy Bridge-EP,2.6GHz,15MB,95W
9,ASROCK,Xeon,E5-4603 v2(S1),Ivy Bridge-EP,2.2GHz,10MB,95W
10,ASROCK,Xeon,E5-2697 v2(C1),Ivy Bridge-EP,2.7GHz,30MB,130W
11,ASROCK,Xeon,E5-2690 v2(M1),Ivy Bridge-EP,3.0GHz,25MB,130W
12,ASROCK,Xeon,E5-2690(C2),Sandy Bridge-EP,2.9GHz,20MB,135W
13,ASROCK,Xeon,E5-2690(C1),Sandy Bridge-EP,2.9GHz,20MB,135W
14,ASROCK,Xeon,E5-2687W v2(M1),Ivy Bridge-EP,3.4GHz,25MB,150W
15,ASROCK,Xeon,E5-2687W(C2),Sandy Bridge-EP,3.1GHz,20MB,150W
16,ASROCK,Xeon,E5-2687W(C1),Sandy Bridge-EP,3.1GHz,20MB,150W
17,ASROCK,Xeon,E5-2680 v2(M1),Ivy Bridge-EP,2.8GHz,25MB,115W
18,ASROCK,Xeon,E5-2680(C2),Sandy Bridge-EP,2.7GHz,20MB,130W
19,ASROCK,Xeon,E5-2680(C1),Sandy Bridge-EP,2.7GHz,20MB,130W
20,ASROCK,Xeon,E5-2670 v2(M1),Ivy Bridge-EP,2.5GHz,25MB,115W
21,ASROCK,Xeon,E5-2670(C2),Sandy Bridge-EP,2.6GHz,20MB,115W
22,ASROCK,Xeon,E5-2667 v2(M1),Ivy Bridge-EP,3.3GHz,25MB,130W
23,ASROCK,Xeon,E5-2667(C2),Sandy Bridge-EP,2.9GHz,15MB,130W
24,ASROCK,Xeon,E5-2667(C1),Sandy Bridge-EP,2.9GHz,15MB,130W
25,ASROCK,Xeon,E5-2665(C2),Sandy Bridge-EP,2.4GHz,20MB,115W
26,ASROCK,Xeon,E5-2660 v2(M1),Ivy Bridge-EP,2.2GHz,25MB,95W
27,ASROCK,Xeon,E5-2660(C2),Sandy Bridge-EP,2.2GHz,20MB,95W
28,ASROCK,Xeon,E5-2650 v2(M1),Ivy Bridge-EP,2.6GHz,20MB,95W
29,ASROCK,Xeon,E5-2650(C2),Sandy Bridge-EP,2.0GHz,20MB,95W
30,ASROCK,Xeon,E5-2650L v2(M1),Ivy Bridge-EP,1.7GHz,25MB,70W
31,ASROCK,Xeon,E5-2643 v2(M1),Ivy Bridge-EP,3.5GHz,25MB,130W
32,ASROCK,Xeon,E5-2643(M1),Sandy Bridge-EP,3.3GHz,10MB,130W
33,ASROCK,Xeon,E5-2643(M0),Sandy Bridge-EP,3.3GHz,10MB,130W
34,ASROCK,Xeon,E5-2640 v2(M1),Ivy Bridge-EP,2.0GHz,20MB,95W
35,ASROCK,Xeon,E5-2640(C2),Sandy Bridge-EP,2.5GHz,15MB,95W
36,ASROCK,Xeon,E5-2637 v2(S1),Ivy Bridge-EP,3.5GHz,15MB,130W
37,ASROCK,Xeon,E5-2637(M1),Sandy Bridge-EP,3.0GHz,5MB,80W
38,ASROCK,Xeon,E5-2630 v2(S1),Ivy Bridge-EP,2.6GHz,15MB,80W
39,ASROCK,Xeon,E5-2630(C2),Sandy Bridge-EP,2.3GHz,15MB,95W
40,ASROCK,Xeon,E5-2630L(S1),Ivy Bridge-EP,2.4GHz,15MB,60W
41,ASROCK,Xeon,E5-2620 v2(S1),Ivy Bridge-EP,2.1GHz,15MB,80W
42,ASROCK,Xeon,E5-2620(C2),Sandy Bridge-EP,2.0GHz,15MB,95W
43,ASROCK,Xeon,E5-2609 v2(S1),Ivy Bridge-EP,2.5GHz,10MB,80W
44,ASROCK,Xeon,E5-2609(M0),Sandy Bridge-EP,2.4GHz,10MB,80W
45,ASROCK,Xeon,E5-2603 v2(S1),Ivy Bridge-EP,1.8GHz,10MB,80W
46,ASROCK,Xeon,E5-2603(M0),Sandy Bridge-EP,1.8GHz,10MB,80W
47,ASROCK,Xeon,E5-1660 v2(S1),Ivy Bridge-EP,3.7GHz,15MB,130W
48,ASROCK,Xeon,E5-1660(C2),Sandy Bridge-EP,3.3GHz,15MB,130W
49,ASROCK,Xeon,E5-1660(C1),Sandy Bridge-EP,3.3GHz,15MB,130W
