,AMD,AMD,AMD,AMD
,Name,Cores,Socket,Released
0,Athlon Gold 3150G,4,Socket AM4,"Jul 21st, 2020"
1,Athlon Gold 3150GE,4,Socket AM4,"Jul 21st, 2020"
2,Athlon Gold PRO 3150G,4,Socket AM4,"Jul 21st, 2020"
3,Athlon Gold PRO 3150GE,4,Socket AM4,"Jul 21st, 2020"
4,Athlon Silver 3050GE,2 / 4,Socket AM4,"Jul 21st, 2020"
5,Athlon Silver PRO 3125GE,2 / 4,Socket AM4,"Jul 21st, 2020"
6,EPYC 7F32,8 / 16,Socket SP3,"Apr 14th, 2020"
7,EPYC 7F52,16 / 32,Socket SP3,"Apr 14th, 2020"
8,EPYC 7F72,24 / 48,Socket SP3,"Apr 14th, 2020"
9,Ryzen 3 3100,4 / 8,Socket AM4,"Apr 24th, 2020"
10,Ryzen 3 3250U,2 / 4,Socket FP5,"Jan 6th, 2020"
11,Ryzen 3 3300X,4 / 8,Socket AM4,"Apr 24th, 2020"
12,Ryzen 3 4300G,4 / 8,Socket AM4,"Jul 21st, 2020"
13,Ryzen 3 4300GE,4 / 8,Socket AM4,"Jul 21st, 2020"
14,Ryzen 3 4300U,4,Socket FP6,"Jan 6th, 2020"
15,Ryzen 3 PRO 4350G,4 / 8,Socket AM4,"Jul 21st, 2020"
16,Ryzen 3 PRO 4350GE,4 / 8,Socket AM4,"Jul 21st, 2020"
17,Ryzen 3 PRO 4450U,4 / 8,Socket FP6,"May 7th, 2020"
18,Ryzen 5 4500U,6,Socket FP6,"Jan 6th, 2020"
19,Ryzen 5 4600G,6 / 12,Socket AM4,"Jul 21st, 2020"
20,Ryzen 5 4600GE,6 / 12,Socket AM4,"Jul 21st, 2020"
21,Ryzen 5 4600H,6 / 12,Socket FP6,"Jan 6th, 2020"
22,Ryzen 5 4600HS,6 / 12,Socket FP6,"Jan 6th, 2020"
23,Ryzen 5 4600U,6 / 12,Socket FP6,"Jan 6th, 2020"
24,Ryzen 5 5600X,6 / 12,Socket AM4,"Nov 5th, 2020"
25,Ryzen 5 PRO 4650G,6 / 12,Socket AM4,"Jul 21st, 2020"
26,Ryzen 5 PRO 4650GE,6 / 12,Socket AM4,"Jul 21st, 2020"
27,Ryzen 5 PRO 4650U,6 / 12,Socket FP6,"May 7th, 2020"
28,Ryzen 7 3800XT,8 / 16,Socket AM4,"Jul 7th, 2020"
29,Ryzen 7 4700G,8 / 16,Socket AM4,"Jul 21st, 2020"
30,Ryzen 7 4700GE,8 / 16,Socket AM4,"Jul 21st, 2020"
31,Ryzen 7 4700U,8,Socket FP6,"Jan 6th, 2020"
32,Ryzen 7 4750U,8 / 16,Socket FP6,"May 7th, 2020"
33,Ryzen 7 4800H,8 / 16,Socket FP6,"Jan 6th, 2020"
34,Ryzen 7 4800HS,8 / 16,Socket FP6,"Jan 6th, 2020"
35,Ryzen 7 4800U,8 / 16,Socket FP6,"Jan 6th, 2020"
36,Ryzen 7 5800X,8 / 16,Socket AM4,"Nov 5th, 2020"
37,Ryzen 7 PRO 4750G,8 / 16,Socket AM4,"Jul 21st, 2020"
38,Ryzen 7 PRO 4750GE,8 / 16,Socket AM4,"Jul 21st, 2020"
39,Ryzen 9 3900XT,12 / 24,Socket AM4,"Jul 7th, 2020"
40,Ryzen 9 4900H,8 / 16,Socket FP6,"Mar 16th, 2020"
41,Ryzen 9 4900HS,8 / 16,Socket FP6,"Mar 7th, 2020"
42,Ryzen 9 5900X,12 / 24,Socket AM4,"Nov 5th, 2020"
43,Ryzen 9 5950X,16 / 32,Socket AM4,"Nov 5th, 2020"
44,Ryzen Embedded R1102G,2 / 4,Socket FP5,"Feb 25th, 2020"
45,Ryzen Embedded R1305G,2 / 4,Socket FP5,"Feb 25th, 2020"
46,Ryzen Embedded R1505G,2 / 4,Socket FP5,"Feb 25th, 2020"
47,Ryzen Embedded R1600,2 / 4,Socket FP5,"Feb 25th, 2020"
48,Ryzen Embedded R1606G,2 / 4,Socket FP5,"Feb 25th, 2020"
49,Ryzen Embedded V2516,6 / 12,Socket FP6,"Nov 10th, 2020"
50,Ryzen Embedded V2546,6 / 12,Socket FP6,"Nov 10th, 2020"
51,Ryzen Embedded V2718,8 / 16,Socket FP6,"Nov 10th, 2020"
52,Ryzen Embedded V2748,8 / 16,Socket FP6,"Nov 10th, 2020"
53,Ryzen Threadripper 3990X,64 / 128,Socket TRX4,"Feb 7th, 2020"
54,Ryzen Threadripper PRO 3945WX,12 / 24,Socket WRX8,"Jul 14th, 2020"
55,Ryzen Threadripper PRO 3955WX,16 / 32,Socket WRX8,"Jul 14th, 2020"
56,Ryzen Threadripper PRO 3975WX,32 / 64,Socket WRX8,"Jul 14th, 2020"
57,Ryzen Threadripper PRO 3995WX,64 / 128,Socket WRX8,"Jul 14th, 2020"
