,Intel,Intel,Intel,Intel
,Name,Cores,Socket,Released
0,Core i5-11260H,6 / 12,BGA 1787,"May 11th, 2021"
1,Core i5-11320H,4 / 8,BGA 1449,"Jun 21st, 2021"
2,Core i5-11400H,6 / 12,BGA 1787,"May 11th, 2021"
3,Core i5-11500H,6 / 12,BGA 1787,"May 11th, 2021"
4,Core i5-1155G7,4 / 8,BGA 1449,"May 31st, 2021"
5,Core i5-11600,6 / 12,Socket 1200,"Mar 16th, 2021"
6,Core i5-11600K,6 / 12,Socket 1200,"Mar 16th, 2021"
7,Core i5-11600KF,6 / 12,Socket 1200,"Mar 16th, 2021"
8,Core i5-11600T,6 / 12,Socket 1200,"Mar 16th, 2021"
9,Core i5-12600K,10 / 16,Socket 1700,"Nov 4th, 2021"
10,Core i5-12600KF,10 / 16,Socket 1700,"Nov 4th, 2021"
11,Core i7-11390H,4 / 8,BGA 1449,"Jun 21st, 2021"
12,Core i7-11600H,6 / 12,BGA 1787,"May 11th, 2021"
13,Core i7-11700,8 / 16,Socket 1200,"Mar 16th, 2021"
14,Core i7-11700F,8 / 16,Socket 1200,"Mar 16th, 2021"
15,Core i7-11700K,8 / 16,Socket 1200,"Mar 16th, 2021"
16,Core i7-11700KF,8 / 16,Socket 1200,"Mar 16th, 2021"
17,Core i7-11700T,8 / 16,Socket 1200,"Mar 16th, 2021"
18,Core i7-11800H,8 / 16,BGA 1787,"May 11th, 2021"
19,Core i7-11850H,8 / 16,BGA 1787,"May 11th, 2021"
20,Core i7-1195G7,4 / 8,BGA 1449,"May 31st, 2021"
21,Core i7-12700K,12 / 20,Socket 1700,"Nov 4th, 2021"
22,Core i7-12700KF,12 / 20,Socket 1700,"Nov 4th, 2021"
23,Core i9-11900,8 / 16,Socket 1200,"Mar 16th, 2021"
24,Core i9-11900F,8 / 16,Socket 1200,"Mar 16th, 2021"
25,Core i9-11900H,8 / 16,BGA 1787,"May 11th, 2021"
26,Core i9-11900K,8 / 16,Socket 1200,"Mar 16th, 2021"
27,Core i9-11900KB,8 / 16,BGA 1787,May 2021
28,Core i9-11900KF,8 / 16,Socket 1200,"Mar 16th, 2021"
29,Core i9-11900T,8 / 16,Socket 1200,"Mar 16th, 2021"
30,Core i9-11950H,8 / 16,BGA 1787,"May 11th, 2021"
31,Core i9-11980HK,8 / 16,BGA 1787,"May 11th, 2021"
32,Core i9-12900K,16 / 24,Socket 1700,"Nov 4th, 2021"
33,Core i9-12900KF,16 / 24,Socket 1700,"Nov 4th, 2021"
34,Xeon E-2314,4,Socket 1200,"Sep 8th, 2021"
35,Xeon E-2324G,4,Socket 1200,"Sep 8th, 2021"
36,Xeon E-2334,4 / 8,Socket 1200,"Sep 8th, 2021"
37,Xeon E-2336,6 / 12,Socket 1200,"Sep 8th, 2021"
38,Xeon E-2356G,6 / 12,Socket 1200,"Sep 8th, 2021"
39,Xeon E-2374G,4 / 8,Socket 1200,"Sep 8th, 2021"
40,Xeon E-2378,8 / 16,Socket 1200,"Sep 8th, 2021"
41,Xeon E-2378G,8 / 16,Socket 1200,"Sep 8th, 2021"
42,Xeon E-2386G,6 / 12,Socket 1200,"Sep 8th, 2021"
43,Xeon E-2388G,8 / 16,Socket 1200,"Sep 8th, 2021"
44,Xeon Gold 5315Y,8 / 16,Socket 4189,"Apr 6th, 2021"
45,Xeon Gold 5317,12 / 24,Socket 4189,"Apr 6th, 2021"
46,Xeon Gold 5318H,18 / 36,Socket 4189,"Apr 6th, 2021"
47,Xeon Gold 5318N,24 / 48,Socket 4189,"Apr 6th, 2021"
48,Xeon Gold 5318S,24 / 48,Socket 4189,"Apr 6th, 2021"
49,Xeon Gold 5318Y,24 / 48,Socket 4189,"Apr 6th, 2021"
50,Xeon Gold 5320,26 / 52,Socket 4189,"Apr 6th, 2021"
51,Xeon Gold 5320H,20 / 40,Socket 4189,"Apr 6th, 2021"
52,Xeon Gold 5320T,20 / 40,Socket 4189,"Apr 6th, 2021"
53,Xeon Gold 6312U,24 / 48,Socket 4189,"Apr 6th, 2021"
54,Xeon Gold 6314U,32 / 64,Socket 4189,"Apr 6th, 2021"
55,Xeon Gold 6326,16 / 32,Socket 4189,"Apr 6th, 2021"
56,Xeon Gold 6328H,16 / 32,Socket 4189,"Apr 6th, 2021"
57,Xeon Gold 6328HL,16 / 32,Socket 4189,"Apr 6th, 2021"
58,Xeon Gold 6330,28 / 56,Socket 4189,"Apr 6th, 2021"
59,Xeon Gold 6330H,24 / 48,Socket 4189,"Apr 6th, 2021"
60,Xeon Gold 6334,8 / 16,Socket 4189,"Apr 6th, 2021"
61,Xeon Gold 6336Y,24 / 48,Socket 4189,"Apr 6th, 2021"
62,Xeon Gold 6338N,32 / 64,Socket 4189,"Apr 6th, 2021"
63,Xeon Gold 6338T,24 / 48,Socket 4189,"Apr 6th, 2021"
64,Xeon Gold 6342,24 / 48,Socket 4189,"Apr 6th, 2021"
65,Xeon Gold 6346,16 / 32,Socket 4189,"Apr 6th, 2021"
66,Xeon Gold 6348,28 / 56,Socket 4189,"Apr 6th, 2021"
67,Xeon Gold 6348H,24 / 48,Socket 4189,"Apr 6th, 2021"
68,Xeon Gold 6354,18 / 36,Socket 4189,"Apr 6th, 2021"
69,Xeon Platinum 8351N,36 / 72,Socket 4189,"Apr 6th, 2021"
70,Xeon Platinum 8352M,32 / 64,Socket 4189,"Apr 6th, 2021"
71,Xeon Platinum 8352S,32 / 64,Socket 4189,"Apr 6th, 2021"
72,Xeon Platinum 8352V,36 / 72,Socket 4189,"Apr 6th, 2021"
73,Xeon Platinum 8353H,18 / 36,Socket 4189,"Apr 6th, 2021"
74,Xeon Platinum 8354H,18 / 36,Socket 4189,"Apr 6th, 2021"
75,Xeon Platinum 8356H,8 / 16,Socket 4189,"Apr 6th, 2021"
76,Xeon Platinum 8358,32 / 64,Socket 4189,"Apr 6th, 2021"
77,Xeon Platinum 8358P,32 / 64,Socket 4189,"Apr 6th, 2021"
78,Xeon Platinum 8360H,24 / 48,Socket 4189,"Apr 6th, 2021"
79,Xeon Platinum 8360HL,24 / 48,Socket 4189,"Apr 6th, 2021"
80,Xeon Platinum 8360Y,36 / 72,Socket 4189,"Apr 6th, 2021"
81,Xeon Platinum 8362,32 / 64,Socket 4189,"Apr 6th, 2021"
82,Xeon Platinum 8368,38 / 76,Socket 4189,"Apr 6th, 2021"
83,Xeon Platinum 8368Q,38 / 76,Socket 4189,"Apr 6th, 2021"
84,Xeon Platinum 8376H,28 / 56,Socket 4189,"Apr 6th, 2021"
85,Xeon Platinum 8376HL,28 / 56,Socket 4189,"Apr 6th, 2021"
86,Xeon Platinum 8380,40 / 80,Socket 4189,"Apr 6th, 2021"
87,Xeon Platinum 8380H,28 / 56,Socket 4189,"Apr 6th, 2021"
88,Xeon Platinum 8380HL,28 / 56,Socket 4189,"Apr 6th, 2021"
89,Xeon Silver 4309Y,8 / 16,Socket 4189,"Apr 6th, 2021"
90,Xeon Silver 4310,12 / 24,Socket 4189,"Apr 6th, 2021"
91,Xeon Silver 4310T,10 / 20,Socket 4189,"Apr 6th, 2021"
92,Xeon Silver 4314,16 / 32,Socket 4189,"Apr 6th, 2021"
93,Xeon Silver 4316,20 / 40,Socket 4189,"Apr 6th, 2021"
94,Xeon W-11855M,6 / 12,BGA 1787,"May 11th, 2021"
95,Xeon W-11955M,8 / 16,BGA 1499,"May 11th, 2021"
96,Xeon W-3323,12 / 24,Socket 4189,"Jul 29th, 2021"
97,Xeon W-3335,16 / 32,Socket 4189,"Jul 29th, 2021"
98,Xeon W-3345,24 / 48,Socket 4189,"Jul 29th, 2021"
99,Xeon W-3365,32 / 64,Socket 4189,"Jul 29th, 2021"
100,Xeon W-3375,38 / 76,Socket 4189,"Jul 29th, 2021"
