,Manufacturer,Family,Number,Core,Frequency,Cache,Power
0,ASROCK,Core i9,i9-13900KS(B0),Raptor Lake-S,3.2GHz,36MB,150W
1,ASROCK,Core i9,i9-13900KF(B0),Raptor Lake-S,3GHz,36MB,125W
2,ASROCK,Core i9,i9-13900F(B0),Raptor Lake-S,2GHz,36MB,65W
3,ASROCK,Core i9,i9-13900(B0),Raptor Lake-S,2GHz,36MB,65W
4,ASROCK,Core i9,i9-13900K(B0),Raptor Lake-S,3GHz,36MB,125W
5,ASROCK,Core i9,i9-13900T(B0),Raptor Lake-S,1.1GHz,36MB,35W
6,ASROCK,Core i7,i7-13700(B0),Raptor Lake-S,2.1GHz,30MB,65W
7,ASROCK,Core i7,i7-13700K(B0),Raptor Lake-S,3.4GHz,30MB,125W
8,ASROCK,Core i7,i7-13700KF(B0),Raptor Lake-S,3.4GHz,30MB,125W
9,ASROCK,Core i7,i7-13700F(B0),Raptor Lake-S,2.1GHz,30MB,65W
10,ASROCK,Core i7,i7-13700T(B0),Raptor Lake-S,1.4GHz,30MB,35W
11,ASROCK,Core i5,i5-13600(C0),Raptor Lake-S,2.7GHz,24MB,65W
12,ASROCK,Core i5,i5-13600T(C0),Raptor Lake-S,1.8GHz,24MB,35W
13,ASROCK,Core i5,i5-13500(C0),Raptor Lake-S,2.5GHz,24MB,65W
14,ASROCK,Core i5,i5-13500T(C0),Raptor Lake-S,1.6GHz,24MB,35W
15,ASROCK,Core i5,i5-13400(C0),Raptor Lake-S,2.5GHz,20MB,65W
16,ASROCK,Core i5,i5-13400(B0),Raptor Lake-S,2.5GHz,20MB,65W
17,ASROCK,Core i5,i5-13400F(C0),Raptor Lake-S,2.5GHz,20MB,65W
18,ASROCK,Core i5,i5-13400F(B0),Raptor Lake-S,2.5GHz,20MB,65W
19,ASROCK,Core i5,i5-13400T(C0),Raptor Lake-S,1.3GHz,20MB,35W
20,ASROCK,Core i5,i5-13600KF(B0),Raptor Lake-S,3.5GHz,24MB,125W
21,ASROCK,Core i5,i5-13600K(B0),Raptor Lake-S,3.5GHz,24MB,125W
22,ASROCK,Core i3,i3-13100(H0),Raptor Lake-S,3.4GHz,12MB,60W
23,ASROCK,Core i3,i3-13100F(H0),Raptor Lake-S,3.4GHz,12MB,58W
24,ASROCK,Core i3,i3-13100T(H0),Raptor Lake-S,2.5GHz,12MB,35W
25,ASROCK,Pentium Gold,G7400(H0),Alder Lake-S,3.7GHz,6MB,46W
26,ASROCK,Pentium Gold,G7400T(H0),Alder Lake-S,3.1GHz,6MB,35W
27,ASROCK,Core i9,i9-12900KS(C0),Alder Lake-S,3.4GHz,30MB,150W
28,ASROCK,Core i9,i9-12900KF(C0),Alder Lake-S,3.2GHz,30MB,125W
29,ASROCK,Core i9,i9-12900K(C0),Alder Lake-S,3.2GHz,30MB,125W
30,ASROCK,Core i9,i9-12900F(C0),Alder Lake-S,2.4GHz,30MB,65W
31,ASROCK,Core i9,i9-12900(C0),Alder Lake-S,2.4GHz,30MB,65W
32,ASROCK,Core i9,i9-12900T(C0),Alder Lake-S,1.4GHz,30MB,35W
33,ASROCK,Core i7,i7-12700KF(C0),Alder Lake-S,3.6GHz,25MB,125W
34,ASROCK,Core i7,i7-12700K(C0),Alder Lake-S,3.6GHz,25MB,125W
35,ASROCK,Core i7,i7-12700(C0),Alder Lake-S,2.1GHz,25MB,65W
36,ASROCK,Core i7,i7-12700F(C0),Alder Lake-S,2.1GHz,25MB,65W
37,ASROCK,Core i7,i7-12700T(C0),Alder Lake-S,1.4GHz,25MB,35W
38,ASROCK,Core i5,i5-12600KF(C0),Alder Lake-S,3.7GHz,20MB,125W
39,ASROCK,Core i5,i5-12600K(C0),Alder Lake-S,3.7GHz,20MB,125W
40,ASROCK,Core i5,i5-12600(H0),Alder Lake-S,3.3GHz,18MB,65W
41,ASROCK,Core i5,i5-12600T(H0),Alder Lake-S,2.1GHz,18MB,35W
42,ASROCK,Core i5,i5-12500(H0),Alder Lake-S,3.0GHz,18MB,65W
43,ASROCK,Core i5,i5-12500T(H0),Alder Lake-S,2.0GHz,18MB,35W
44,ASROCK,Core i5,i5-12490F(C0),Alder Lake-S,3GHz,20MB,65W
45,ASROCK,Core i5,i5-12400F(H0),Alder Lake-S,2.5GHz,18MB,65W
46,ASROCK,Core i5,i5-12400F(C0),Alder Lake-S,2.5GHz,18MB,65W
47,ASROCK,Core i5,i5-12400T(H0),Alder Lake-S,1.8GHz,18MB,35W
48,ASROCK,Core i5,i5-12400(H0),Alder Lake-S,2.5GHz,18MB,65W
49,ASROCK,Core i5,i5-12400(C0),Alder Lake-S,2.5GHz,18MB,65W
50,ASROCK,Core i3,i3-12300(H0),Alder Lake-S,3.5GHz,12MB,60W
51,ASROCK,Core i3,i3-12300T(H0),Alder Lake-S,2.3GHz,12MB,35W
52,ASROCK,Core i3,i3-12100(H0),Alder Lake-S,3.3GHz,12MB,60W
53,ASROCK,Core i3,i3-12100F(H0),Alder Lake-S,3.3GHz,12MB,58W
54,ASROCK,Core i3,i3-12100T(H0),Alder Lake-S,2.2GHz,12MB,35W
55,ASROCK,Celeron,G6900T(H0),Alder Lake-S,2.8GHz,4MB,35W
56,ASROCK,Celeron,G6900(H0),Alder Lake-S,3.4GHz,4MB,46W
