,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD
30,Ryzen 3 PRO 2300U,Raven Ridge,4,2 to 3.4 GHz,Socket FP5,14 nm,4MB,15 W,"Jan 8th, 2019",
31,Ryzen 3 PRO 3200GE,Picasso,4,3.3 to 4 GHz,Socket AM4,12 nm,4MB,35 W,"Sep 30th, 2019",
32,Ryzen 3 PRO 3300U,Picasso,4,2.1 to 3.5 GHz,Socket FP5,12 nm,4MB,15 W,"Apr 8th, 2019",
33,Ryzen 5 1600AF,Zen,6 / 12,3.2 to 3.6 GHz,Socket AM4,12 nm,16MB,65 W,"Oct 11th, 2019",
34,Ryzen 5 3400G,Picasso,4 / 8,3.7 to 4.2 GHz,Socket AM4,12 nm,4MB,65 W,"Jul 7th, 2019",
35,Ryzen 5 3400GE,Picasso,4 / 8,3.3 to 4 GHz,Socket AM4,12 nm,4MB,35 W,"Jul 7th, 2019",
36,Ryzen 5 3500U,Picasso,4 / 8,2.1 to 3.7 GHz,Socket FP5,12 nm,4MB,15 W,"Jan 6th, 2019",
37,Ryzen 5 3500X,Matisse,6,3.6 to 4.1 GHz,Socket AM4,7 nm,32MB,65 W,"Sep 24th, 2019",
38,Ryzen 5 3550H,Picasso,4 / 8,2.1 to 3.7 GHz,Socket FP5,12 nm,4MB,35 W,"Jan 6th, 2019",
39,Ryzen 5 3580U,Picasso,4 / 8,2.1 to 3.7 GHz,Socket FP5,12 nm,4MB,15 W,"Oct 22nd, 2019",
40,Ryzen 5 3600,Matisse,6 / 12,3.6 to 4.2 GHz,Socket AM4,7 nm,32MB,65 W,"Jul 7th, 2019",
41,Ryzen 5 3600X,Matisse,6 / 12,3.8 to 4.4 GHz,Socket AM4,7 nm,32MB,95 W,"Jul 7th, 2019",
42,Ryzen 5 3600XT,Matisse 2,6 / 12,3.8 to 4.5 GHz,Socket AM4,7 nm,32MB,95 W,"Jul 7th, 2019",
43,Ryzen 5 PRO 2500U,Raven Ridge,4 / 8,2 to 3.6 GHz,Socket FP5,14 nm,4MB,15 W,"Jan 8th, 2019",
44,Ryzen 5 PRO 3400GE,Picasso,4 / 8,3.3 to 4 GHz,Socket AM4,12 nm,4MB,35 W,"Sep 30th, 2019",
45,Ryzen 5 PRO 3500U,Picasso,4 / 8,2.1 to 3.7 GHz,Socket FP5,12 nm,4MB,15 W,"Apr 8th, 2019",
46,Ryzen 7 2700X 50th Anniversary,Zen,8 / 16,3.7 to 4.35 GHz,Socket AM4,12 nm,16MB,105 W,"Apr 29th, 2019",
47,Ryzen 7 3700U,Picasso,4 / 8,2.3 to 4 GHz,Socket FP5,12 nm,4MB,15 W,"Jan 6th, 2019",
48,Ryzen 7 3700X,Matisse,8 / 16,3.6 to 4.4 GHz,Socket AM4,7 nm,32MB,65 W,"Jul 7th, 2019",
49,Ryzen 7 3750H,Picasso,4 / 8,2.3 to 4 GHz,Socket FP5,12 nm,4MB,35 W,"Jan 6th, 2019",
50,Ryzen 7 3780U,Picasso,4 / 8,2.3 to 4 GHz,Socket FP5,12 nm,4MB,15 W,"Oct 22nd, 2019",
51,Ryzen 7 3800X,Matisse,8 / 16,3.9 to 4.5 GHz,Socket AM4,7 nm,32MB,105 W,"Jul 7th, 2019",
52,Ryzen 7 PRO 3700U,Picasso,4 / 8,2.3 to 4 GHz,Socket FP5,12 nm,4MB,15 W,"Apr 8th, 2019",
53,Ryzen 9 3900X,Matisse,12 / 24,3.8 to 4.6 GHz,Socket AM4,7 nm,64MB,105 W,"Jul 7th, 2019",
54,Ryzen 9 3950X,Matisse,16 / 32,3.5 to 4.7 GHz,Socket AM4,7 nm,64MB,105 W,"Nov 25th, 2019",
55,Ryzen Threadripper 3960X,Castle Peak,24 / 48,3.8 to 4.5 GHz,Socket TRX4,7 nm,128MB,280 W,"Nov 25th, 2019",
56,Ryzen Threadripper 3970X,Castle Peak,32 / 64,3.7 to 4.5 GHz,Socket TRX4,7 nm,128MB,280 W,"Nov 25th, 2019",
