,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD
,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released,Unnamed: 9_level_1
0,A6-9120C SoC,Stoney Ridge,2,1.6 to 2.4 GHz,Socket FT4,28 nm,,6 W,"Jan 7th, 2019",
1,A6-9220C SoC,Stoney Ridge,2,1.8 to 2.7 GHz,Socket FT4,28 nm,,6 W,"Jan 7th, 2019",
2,A6-9400,Bristol Ridge,2,3.4 to 3.7 GHz,Socket AM4,28 nm,,65 W,"Mar 16th, 2019",
3,Athlon 3000G,Zen,2 / 4,3.5 GHz,Socket AM4,14 nm,4MB,35 W,"Nov 20th, 2019",
4,Athlon 300U,Raven Ridge 2,2 / 4,2.4 to 3.3 GHz,Socket FP5,14 nm,4MB,15 W,"Jan 6th, 2019",
5,Athlon PRO 300U,Raven Ridge 2,2 / 4,2.4 to 3.3 GHz,Socket FP5,14 nm,4MB,15 W,"Apr 8th, 2019",
6,EPYC 7232P,Rome,8 / 16,3.1 to 3.2 GHz,Socket SP3,7 nm,32MB,120 W,"Aug 7th, 2019",
7,EPYC 7252,Rome,8 / 16,2.8 to 3.2 GHz,Socket SP3,7 nm,64MB,120 W,"Aug 7th, 2019",
8,EPYC 7262,Rome,8 / 16,3.1 to 3.3 GHz,Socket SP3,7 nm,128MB,155 W,"Aug 7th, 2019",
9,EPYC 7272,Rome,12 / 24,2.6 to 3.2 GHz,Socket SP3,7 nm,64MB,120 W,"Aug 7th, 2019",
10,EPYC 7282,Rome,16 / 32,2.8 to 3.2 GHz,Socket SP3,7 nm,64MB,120 W,"Aug 7th, 2019",
11,EPYC 7302,Rome,16 / 32,3 to 3.3 GHz,Socket SP3,7 nm,128MB,155 W,"Aug 7th, 2019",
12,EPYC 7302P,Rome,16 / 32,3 to 3.3 GHz,Socket SP3,7 nm,128MB,155 W,"Aug 7th, 2019",
13,EPYC 7352,Rome,24 / 48,2.4 to 3.3 GHz,Socket SP3,7 nm,128MB,155 W,"Aug 7th, 2019",
14,EPYC 7402,Rome,24 / 48,2.8 to 3.35 GHz,Socket SP3,7 nm,128MB,180 W,"Aug 7th, 2019",
15,EPYC 7402P,Rome,24 / 48,2.8 to 3.35 GHz,Socket SP3,7 nm,128MB,180 W,"Aug 7th, 2019",
16,EPYC 7452,Rome,32 / 64,2.2 to 3.35 GHz,Socket SP3,7 nm,128MB,155 W,"Aug 7th, 2019",
17,EPYC 7502,Rome,32 / 64,2.5 to 3.35 GHz,Socket SP3,7 nm,128MB,180 W,"Aug 7th, 2019",
18,EPYC 7502P,Rome,32 / 64,2.5 to 3.35 GHz,Socket SP3,7 nm,128MB,180 W,"Aug 7th, 2019",
19,EPYC 7542,Rome,32 / 64,2.9 to 3.4 GHz,Socket SP3,7 nm,128MB,225 W,"Aug 7th, 2019",
20,EPYC 7552,Rome,48 / 96,2.2 to 3.35 GHz,Socket SP3,7 nm,192MB,200 W,"Aug 7th, 2019",
21,EPYC 7642,Rome,48 / 96,2.4 to 3.4 GHz,Socket SP3,7 nm,256MB,225 W,"Aug 7th, 2019",
22,EPYC 7702,Rome,64 / 128,2 to 3.35 GHz,Socket SP3,7 nm,256MB,200 W,"Aug 7th, 2019",
23,EPYC 7702P,Rome,64 / 128,2 to 3.35 GHz,Socket SP3,7 nm,256MB,200 W,"Aug 7th, 2019",
24,EPYC 7742,Rome,64 / 128,2.25 to 3.4 GHz,Socket SP3,7 nm,256MB,225 W,"Aug 7th, 2019",
25,EPYC 7H12,Rome,64 / 128,2.6 to 3.3 GHz,Socket SP3,7 nm,256MB,280 W,"Sep 18th, 2019",
26,Ryzen 3 3200G,Picasso,4,3.6 to 4 GHz,Socket AM4,12 nm,4MB,65 W,"Jul 7th, 2019",
27,Ryzen 3 3200GE,Picasso,4,3.3 to 4 GHz,Socket AM4,12 nm,4MB,35 W,"Jul 7th, 2019",
28,Ryzen 3 3200U,Raven Ridge,2 / 4,2.6 to 3.5 GHz,Socket FP5,14 nm,4MB,15 W,"Jan 6th, 2019",
29,Ryzen 3 3300U,Picasso,4,2.1 to 3.5 GHz,Socket FP5,12 nm,4MB,15 W,"Jan 6th, 2019",
