,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD
,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released,Unnamed: 9_level_1
0,EPYC 72F3,Milan,8 / 16,3.7 to 4.1 GHz,Socket SP3,7 nm,256MB,180 W,"Mar 15th, 2021",
1,EPYC 7313,Milan,16 / 32,3 to 3.7 GHz,Socket SP3,7 nm,128MB,155 W,"Mar 15th, 2021",
2,EPYC 7313P,Milan,16 / 32,3 to 3.7 GHz,Socket SP3,7 nm,128MB,155 W,"Mar 15th, 2021",
3,EPYC 7343,Milan,16 / 32,3.2 to 3.9 GHz,Socket SP3,7 nm,128MB,190 W,"Mar 15th, 2021",
4,EPYC 73F3,Milan,16 / 32,3.5 to 4 GHz,Socket SP3,7 nm,256MB,240 W,"Mar 15th, 2021",
5,EPYC 7413,Milan,24 / 48,2.65 to 3.6 GHz,Socket SP3,7 nm,128MB,180 W,"Mar 15th, 2021",
6,EPYC 7443,Milan,24 / 48,2.85 to 4 GHz,Socket SP3,7 nm,128MB,200 W,"Mar 15th, 2021",
7,EPYC 7443P,Milan,24 / 48,2.85 to 4 GHz,Socket SP3,7 nm,128MB,200 W,"Mar 15th, 2021",
8,EPYC 7453,Milan,28 / 56,2.75 to 3.45 GHz,Socket SP3,7 nm,64MB,225 W,"Mar 15th, 2021",
9,EPYC 74F3,Milan,24 / 48,2.8 to 4 GHz,Socket SP3,7 nm,256MB,240 W,"Mar 15th, 2021",
10,EPYC 7513,Milan,32 / 64,2.6 to 3.65 GHz,Socket SP3,7 nm,128MB,200 W,"Mar 15th, 2021",
11,EPYC 7543,Milan,32 / 64,2.8 to 3.7 GHz,Socket SP3,7 nm,256MB,225 W,"Mar 15th, 2021",
12,EPYC 7543P,Milan,32 / 64,2.8 to 3.7 GHz,Socket SP3,7 nm,256MB,225 W,"Mar 15th, 2021",
13,EPYC 75F3,Milan,32 / 64,2.95 to 4 GHz,Socket SP3,7 nm,256MB,280 W,"Mar 15th, 2021",
14,EPYC 7643,Milan,48 / 96,2.3 to 3.6 GHz,Socket SP3,7 nm,256MB,225 W,"Mar 15th, 2021",
15,EPYC 7663,Milan,56 / 112,2 to 3.5 GHz,Socket SP3,7 nm,256MB,240 W,"Mar 15th, 2021",
16,EPYC 7713,Milan,64 / 128,2 to 3.675 GHz,Socket SP3,7 nm,256MB,225 W,"Mar 15th, 2021",
17,EPYC 7713P,Milan,64 / 128,2 to 3.675 GHz,Socket SP3,7 nm,256MB,225 W,"Mar 15th, 2021",
