,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD
18,EPYC 7763,Milan,64 / 128,2.45 to 3.5 GHz,Socket SP3,7 nm,256MB,280 W,"Mar 15th, 2021",
19,Ryzen 3 5300G,Cezanne,4 / 8,4 to 4.2 GHz,Socket AM4,7 nm,8MB,65 W,"Apr 13th, 2021",
20,Ryzen 3 5300U,Lucienne,4 / 8,2.6 to 3.8 GHz,Socket FP6,7 nm,4MB,15 W,"Jan 12th, 2021",
21,Ryzen 3 5400U,Cezanne-U,4 / 8,2.6 to 4 GHz,Socket FP6,7 nm,8MB,15 W,"Jan 12th, 2021",
22,Ryzen 3 PRO 5350G,Cezanne,4 / 8,4 to 4.2 GHz,Socket AM4,7 nm,8MB,65 W,"Jun 1st, 2021",
23,Ryzen 3 PRO 5350GE,Cezanne,4 / 8,3.6 to 4.2 GHz,Socket AM4,7 nm,8MB,35 W,"Jun 1st, 2021",
24,Ryzen 3 PRO 5450U,Cezanne-U,4 / 8,2.6 to 4 GHz,Socket FP6,7 nm,8MB,15 W,"Mar 16th, 2021",
25,Ryzen 5 5500U,Lucienne,6 / 12,2.1 to 4 GHz,Socket FP6,7 nm,8MB,15 W,"Jan 12th, 2021",
26,Ryzen 5 5600G,Cezanne,6 / 12,3.9 to 4.4 GHz,Socket AM4,7 nm,16MB,65 W,"Apr 13th, 2021",
27,Ryzen 5 5600U,Cezanne-U,6 / 12,2.3 to 4.2 GHz,Socket FP6,7 nm,16MB,15 W,"Jan 12th, 2021",
28,Ryzen 5 PRO 5650G,Cezanne,6 / 12,3.9 to 4.4 GHz,Socket AM4,7 nm,16MB,65 W,"Jun 1st, 2021",
29,Ryzen 5 PRO 5650GE,Cezanne,6 / 12,3.4 to 4.4 GHz,Socket AM4,7 nm,16MB,35 W,"Jun 1st, 2021",
30,Ryzen 5 PRO 5650U,Cezanne-U,6 / 12,2.3 to 4.2 GHz,Socket FP6,7 nm,16MB,15 W,"Mar 16th, 2021",
31,Ryzen 7 5700G,Cezanne,8 / 16,3.8 to 4.6 GHz,Socket AM4,7 nm,16MB,65 W,"Apr 13th, 2021",
32,Ryzen 7 5700U,Lucienne,8 / 16,1.8 to 4.3 GHz,Socket FP6,7 nm,8MB,15 W,"Jan 12th, 2021",
33,Ryzen 7 5800,Vermeer,8 / 16,3.4 to 4.6 GHz,Socket AM4,7 nm,32MB,65 W,"Jan 12th, 2021",
34,Ryzen 7 5800G,Cezanne,8 / 16,3.8 to 4.8 GHz,Socket AM4,7 nm,16MB,65 W,Unknown,
35,Ryzen 7 5800H,Cezanne,8 / 16,3.2 to 4.4 GHz,Socket FP6,7 nm,16MB,45 W,"Jan 12th, 2021",
36,Ryzen 7 5800HS,Cezanne,8 / 16,2.8 to 4.4 GHz,Socket FP6,7 nm,16MB,35 W,"Jan 12th, 2021",
37,Ryzen 7 5800U,Cezanne-U,8 / 16,1.9 to 4.4 GHz,Socket FP6,7 nm,16MB,15 W,"Jan 12th, 2021",
38,Ryzen 7 PRO 5750G,Cezanne,8 / 16,3.8 to 4.6 GHz,Socket AM4,7 nm,16MB,65 W,"Jun 1st, 2021",
39,Ryzen 7 PRO 5750GE,Cezanne,8 / 16,3.2 to 4.6 GHz,Socket AM4,7 nm,16MB,35 W,"Jun 1st, 2021",
40,Ryzen 7 PRO 5850U,Cezanne-U,8 / 16,1.9 to 4.4 GHz,Socket FP6,7 nm,16MB,15 W,"Mar 16th, 2021",
41,Ryzen 9 5900,Vermeer,12 / 24,3 to 4.7 GHz,Socket AM4,7 nm,64MB,65 W,"Jan 12th, 2021",
42,Ryzen 9 5900HX,Cezanne,8 / 16,3.3 to 4.6 GHz,Socket FP6,7 nm,16MB,45 W,"Jan 12th, 2021",
43,Ryzen 9 5980HS,Cezanne,8 / 16,3 to 4.8 GHz,Socket FP6,7 nm,16MB,35 W,"Jan 12th, 2021",
44,Ryzen Threadripper 3980X,Castle Peak,48 / 96,3.5 to 4.7 GHz,Socket TRX4,7 nm,128MB,280 W,Never Released,
