,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel
,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released,Unnamed: 9_level_1
0,Core i3-1000G1,Ice Lake-Y,2 / 4,1.1 to 3.2 GHz,BGA 1440,10 nm,4MB,9 W,"Aug 1st, 2019",
1,Core i3-1000G4,Ice Lake-Y,2 / 4,1.1 to 3.2 GHz,BGA 1440,10 nm,4MB,9 W,"Aug 1st, 2019",
2,Core i3-1005G1,Ice Lake-U,2 / 4,1.2 to 3.4 GHz,BGA 1526,10 nm,4MB,15 W,"Aug 1st, 2019",
3,Core i3-10110U,Comet Lake-U,2 / 4,2.1 to 4.1 GHz,BGA 1440,14 nm,4MB,25 W,"Aug 21st, 2019",
4,Core i3-10110Y,Comet Lake-Y,2 / 4,1 to 4 GHz,BGA 1440,14 nm,4MB,9 W,"Aug 21st, 2019",
5,Core i3-9100F,Coffee Lake,4,3.6 to 4.2 GHz,Socket 1151,14 nm,6MB,65 W,"Apr 23rd, 2019",
6,Core i3-9300,Coffee Lake,4,3.7 to 4.3 GHz,Socket 1151,14 nm,8MB,62 W,"Apr 23rd, 2019",
7,Core i3-9320,Coffee Lake,4,3.7 to 4.4 GHz,Socket 1151,14 nm,8MB,62 W,"Apr 23rd, 2019",
8,Core i3-9350K,Coffee Lake,4,4 to 4.6 GHz,Socket 1151,14 nm,8MB,91 W,"Apr 23rd, 2019",
9,Core i3-9350KF,Coffee Lake,4,4 to 4.6 GHz,Socket 1151,14 nm,8MB,91 W,"Jan 8th, 2019",
10,Core i5-10210U,Comet Lake-U,4 / 8,1.6 to 4.2 GHz,BGA 1440,14 nm,6MB,25 W,"Aug 21st, 2019",
11,Core i5-10210Y,Comet Lake-Y,4 / 8,1 to 4 GHz,BGA 1440,14 nm,6MB,9 W,"Aug 21st, 2019",
12,Core i5-1030G4,Ice Lake-Y,4 / 8,0.7 to 3.5 GHz,BGA 1440,10 nm,6MB,9 W,"Aug 1st, 2019",
13,Core i5-1030G7,Ice Lake-Y,4 / 8,0.8 to 3.5 GHz,BGA 1440,10 nm,6MB,9 W,"Aug 1st, 2019",
14,Core i5-10310Y,Comet Lake-Y,4 / 8,1.1 to 4.1 GHz,BGA 1440,14 nm,6MB,9 W,"Aug 21st, 2019",
15,Core i5-1035G1,Ice Lake-U,4 / 8,1 to 3.6 GHz,BGA 1526,10 nm,6MB,15 W,"Aug 1st, 2019",
16,Core i5-1035G4,Ice Lake-U,4 / 8,1.1 to 3.7 GHz,BGA 1526,10 nm,6MB,15 W,"Aug 1st, 2019",
17,Core i5-1035G7,Ice Lake-U,4 / 8,1.2 to 3.7 GHz,BGA 1526,10 nm,6MB,15 W,"Aug 1st, 2019",
18,Core i5-9400F,Coffee Lake,6,2.9 to 4.1 GHz,Socket 1151,14 nm,9MB,65 W,"Jan 8th, 2019",
19,Core i5-9500F,Coffee Lake,6,3 to 4.4 GHz,Socket 1151,14 nm,9MB,65 W,"Apr 23rd, 2019",
20,Core i5-9600KF,Coffee Lake,6,3.7 to 4.6 GHz,Socket 1151,14 nm,9MB,95 W,"Jan 8th, 2019",
21,Core i7-10510U,Comet Lake-U,4 / 8,1.8 to 4.9 GHz,BGA 1440,14 nm,8MB,25 W,"Aug 21st, 2019",
