,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel
22,Core i7-10510Y,Comet Lake-Y,4 / 8,1.2 to 4.5 GHz,BGA 1440,14 nm,8MB,9 W,"Aug 21st, 2019",
23,Core i7-1060G7,Ice Lake-Y,4 / 8,1 to 3.8 GHz,BGA 1440,10 nm,8MB,9 W,"Aug 1st, 2019",
24,Core i7-1065G7,Ice Lake-U,4 / 8,1.3 to 3.9 GHz,BGA 1526,10 nm,8MB,15 W,"Aug 1st, 2019",
25,Core i7-1068NG7,Ice Lake-U,4 / 8,2.3 to 4.1 GHz,BGA 1526,10 nm,8MB,28 W,"Aug 1st, 2019",
26,Core i7-10710U,Comet Lake-U,6 / 12,1.1 to 4.7 GHz,BGA 1440,14 nm,12MB,25 W,"Aug 21st, 2019",
27,Core i7-9700,Coffee Lake,8,3 to 4.7 GHz,Socket 1151,14 nm,12MB,65 W,"Apr 23rd, 2019",
28,Core i7-9700F,Coffee Lake,8,3 to 4.7 GHz,Socket 1151,14 nm,12MB,65 W,"Apr 23rd, 2019",
29,Core i7-9700KF,Coffee Lake,8,3.6 to 4.9 GHz,Socket 1151,14 nm,12MB,95 W,"Jan 8th, 2019",
30,Core i7-9750H,Coffee Lake-HR,6 / 12,2.6 to 4.5 GHz,BGA 1440,14 nm,12MB,45 W,"Apr 23rd, 2019",
31,Core i7-9750HF,Coffee Lake-HR,6 / 12,2.6 to 4.5 GHz,BGA 1440,14 nm,12MB,45 W,"Apr 23rd, 2019",
32,Core i7-9850H,Coffee Lake-HR,6 / 12,2.6 to 4.6 GHz,BGA 1440,14 nm,12MB,45 W,"Apr 23rd, 2019",
33,Core i7-9850HE,Coffee Lake-HR,6 / 12,2.7 to 4.4 GHz,BGA 1440,14 nm,9MB,45 W,Jun 2019,
34,Core i7-9850HL,Coffee Lake-HR,6 / 12,1.9 to 4.1 GHz,BGA 1440,14 nm,9MB,25 W,Jun 2019,
35,Core i9-10900X,Cascade Lake-X,10 / 20,3.7 to 4.7 GHz,Socket 2066,14 nm,19.25MB,165 W,"Oct 19th, 2019",
36,Core i9-10920X,Cascade Lake-X,12 / 24,3.5 to 4.8 GHz,Socket 2066,14 nm,19.25MB,165 W,"Oct 19th, 2019",
37,Core i9-10940X,Cascade Lake-X,14 / 28,3.3 to 4.8 GHz,Socket 2066,14 nm,19.25MB,165 W,"Oct 19th, 2019",
38,Core i9-10980XE,Cascade Lake-X,18 / 36,3 to 4.8 GHz,Socket 2066,14 nm,24.75MB,165 W,"Oct 19th, 2019",
39,Core i9-9880H,Coffee Lake-HR,8 / 16,2.3 to 4.8 GHz,BGA 1440,14 nm,16MB,45 W,"Apr 23rd, 2019",
40,Core i9-9900,Coffee Lake-R,8 / 16,3.1 to 5 GHz,Socket 1151,14 nm,16MB,65 W,"Apr 23rd, 2019",
41,Core i9-9900KF,Coffee Lake-R,8 / 16,3.6 to 5 GHz,Socket 1151,14 nm,16MB,95 W,"Jan 8th, 2019",
42,Core i9-9900KS,Coffee Lake-R,8 / 16,4 to 5 GHz,Socket 1151,14 nm,16MB,127 W,"Oct 28th, 2019",
43,Core i9-9980HK,Coffee Lake-HR,8 / 16,2.4 to 5 GHz,BGA 1440,14 nm,16MB,45 W,"Apr 23rd, 2019",
44,Pentium Gold G5620,Coffee Lake,2 / 4,4 GHz,Socket 1151,14 nm,4MB,51 W,"Feb 20th, 2019",
45,Xeon Platinum 9221,Cascade Lake-AP,32 / 64,2.1 to 3.7 GHz,BGA 5903,14 nm,71.5MB,250 W,"Apr 2nd, 2019",
46,Xeon Platinum 9222,Cascade Lake-AP,32 / 64,2.3 to 3.7 GHz,BGA 5903,14 nm,71.5MB,250 W,"Apr 2nd, 2019",
47,Xeon Platinum 9242,Cascade Lake-AP,48 / 96,2.3 to 3.8 GHz,BGA 5903,14 nm,71.5MB,350 W,"Apr 2nd, 2019",
48,Xeon Platinum 9282,Cascade Lake-AP,56 / 112,2.6 to 3.8 GHz,BGA 5903,14 nm,77MB,400 W,"Apr 2nd, 2019",
