,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD
,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released,Unnamed: 9_level_1
0,Athlon Gold 7220U,Mendocino,2 / 4,2.4 to 3.7 GHz,Socket FP6,6 nm,4MB,15 W,"Sep 20th, 2022",
1,Athlon Silver 7120U,Mendocino,2,2.4 to 3.5 GHz,Socket FP6,6 nm,2MB,15 W,"Sep 20th, 2022",
2,EPYC 7373X,Milan-X,16 / 32,3.05 to 3.8 GHz,Socket SP3,7 nm,768MB,240 W,"Mar 22nd, 2022",
3,EPYC 7473X,Milan-X,24 / 48,2.8 to 3.7 GHz,Socket SP3,7 nm,768MB,240 W,"Mar 22nd, 2022",
4,EPYC 7573X,Milan-X,32 / 64,2.8 to 3.6 GHz,Socket SP3,7 nm,768MB,280 W,"Mar 22nd, 2022",
5,EPYC 7773X,Milan-X,64 / 128,2.2 to 3.5 GHz,Socket SP3,7 nm,768MB,280 W,"Mar 22nd, 2022",
6,EPYC 9124,Genoa,16 / 32,3 to 3.7 GHz,Socket SP5,5 nm,64MB,200 W,"Nov 10th, 2022",
7,EPYC 9174F,Genoa,16 / 32,4.1 to 4.4 GHz,Socket SP5,5 nm,256MB,320 W,"Nov 10th, 2022",
8,EPYC 9224,Genoa,24 / 48,2.5 to 3.7 GHz,Socket SP5,5 nm,64MB,200 W,"Nov 10th, 2022",
9,EPYC 9254,Genoa,24 / 48,2.9 to 4.15 GHz,Socket SP5,5 nm,128MB,200 W,"Nov 10th, 2022",
10,EPYC 9274F,Genoa,24 / 48,4.05 to 4.3 GHz,Socket SP5,5 nm,256MB,320 W,"Nov 10th, 2022",
11,EPYC 9334,Genoa,32 / 64,2.7 to 3.9 GHz,Socket SP5,5 nm,128MB,210 W,"Nov 10th, 2022",
12,EPYC 9354,Genoa,32 / 64,3.25 to 3.8 GHz,Socket SP5,5 nm,256MB,280 W,"Nov 10th, 2022",
13,EPYC 9354P,Genoa,32 / 64,3.25 to 3.8 GHz,Socket SP5,5 nm,256MB,280 W,"Nov 10th, 2022",
14,EPYC 9374F,Genoa,32 / 64,3.85 to 4.3 GHz,Socket SP5,5 nm,256MB,320 W,"Nov 10th, 2022",
15,EPYC 9454,Genoa,48 / 96,2.75 to 3.8 GHz,Socket SP5,5 nm,256MB,290 W,"Nov 10th, 2022",
16,EPYC 9454P,Genoa,48 / 96,2.75 to 3.8 GHz,Socket SP5,5 nm,256MB,290 W,"Nov 10th, 2022",
17,EPYC 9474F,Genoa,48 / 96,3.6 to 4.1 GHz,Socket SP5,5 nm,256MB,360 W,"Nov 10th, 2022",
18,EPYC 9534,Genoa,64 / 128,2.45 to 3.7 GHz,Socket SP5,5 nm,256MB,280 W,"Nov 10th, 2022",
19,EPYC 9554,Genoa,64 / 128,3.1 to 3.75 GHz,Socket SP5,5 nm,256MB,360 W,"Nov 10th, 2022",
20,EPYC 9554P,Genoa,64 / 128,3.1 to 3.75 GHz,Socket SP5,5 nm,256MB,360 W,"Nov 10th, 2022",
21,EPYC 9634,Genoa,84 / 168,2.25 to 3.7 GHz,Socket SP5,5 nm,384MB,290 W,"Nov 10th, 2022",
22,EPYC 9654,Genoa,96 / 192,2.4 to 3.7 GHz,Socket SP5,5 nm,384MB,360 W,"Nov 10th, 2022",
23,EPYC 9654P,Genoa,96 / 192,2.4 to 3.7 GHz,Socket SP5,5 nm,384MB,360 W,"Nov 10th, 2022",
24,Ryzen 3 4100,Renoir,4 / 8,3.8 to 4 GHz,Socket AM4,7 nm,8MB,65 W,"Apr 4th, 2022",
25,Ryzen 3 5125C,Cezanne-U,2 / 4,3 GHz,Socket FP6,7 nm,8MB,15 W,"May 5th, 2022",
26,Ryzen 3 5425C,Cezanne-U,4 / 8,2.7 to 4.1 GHz,Socket FP6,7 nm,8MB,15 W,"May 5th, 2022",
27,Ryzen 3 5425U,Barcelo,4 / 8,2.7 to 4.1 GHz,Socket FP6,7 nm,8MB,15 W,"Jan 6th, 2022",
28,Ryzen 3 7320U,Mendocino,4 / 8,2.4 to 4.1 GHz,Socket FP6,6 nm,4MB,15 W,"Sep 20th, 2022",
29,Ryzen 3 PRO 5475U,Cezanne-U,4 / 8,2.7 to 4.1 GHz,Socket FP6,7 nm,8MB,15 W,"Apr 19th, 2022",
30,Ryzen 5 4500,Renoir,6 / 12,3.6 to 4.1 GHz,Socket AM4,7 nm,8MB,65 W,"Apr 4th, 2022",
31,Ryzen 5 5500,Cezanne,6 / 12,3.6 to 4.2 GHz,Socket AM4,7 nm,16MB,65 W,"Apr 4th, 2022",
32,Ryzen 5 5600,Vermeer,6 / 12,3.5 to 4.4 GHz,Socket AM4,7 nm,32MB,65 W,"Apr 20th, 2022",
33,Ryzen 5 5625C,Cezanne-U,6 / 12,2.3 to 4.3 GHz,Socket FP6,7 nm,16MB,15 W,"May 5th, 2022",
34,Ryzen 5 5625U,Barcelo,6 / 12,2.3 to 4.3 GHz,Socket FP6,7 nm,16MB,15 W,"Jan 6th, 2022",
35,Ryzen 5 6600H,Rembrandt,6 / 12,3.3 to 4.5 GHz,Socket FP7,6 nm,16MB,45 W,Jan 2022,
36,Ryzen 5 6600HS,Rembrandt,6 / 12,3.3 to 4.5 GHz,Socket FP7,6 nm,16MB,35 W,Jan 2022,
37,Ryzen 5 6600U,Rembrandt,6 / 12,2.9 to 4.5 GHz,Socket FP7,6 nm,16MB,15 W,Jan 2022,
38,Ryzen 5 7520U,Mendocino,4 / 8,2.8 to 4.3 GHz,Socket FP6,6 nm,4MB,15 W,"Sep 20th, 2022",
39,Ryzen 5 7600X,Raphael,6 / 12,4.7 to 5.3 GHz,Socket AM5,5 nm,32MB,105 W,"Sep 27th, 2022",
40,Ryzen 5 PRO 5675U,Cezanne-U,6 / 12,2.3 to 4.3 GHz,Socket FP6,7 nm,16MB,15 W,"Apr 19th, 2022",
41,Ryzen 5 PRO 6650H,Rembrandt,6 / 12,3.3 to 4.5 GHz,Socket FP7,6 nm,16MB,45 W,"Apr 19th, 2022",
42,Ryzen 5 PRO 6650HS,Rembrandt,6 / 12,3.3 to 4.5 GHz,Socket FP7,6 nm,16MB,35 W,"Apr 19th, 2022",
43,Ryzen 5 PRO 6650U,Rembrandt,6 / 12,2.9 to 4.5 GHz,Socket FP7,6 nm,16MB,15 W,"Apr 19th, 2022",
44,Ryzen 7 5700X,Vermeer,8 / 16,3.4 to 4.6 GHz,Socket AM4,7 nm,32MB,65 W,"Apr 4th, 2022",
45,Ryzen 7 5800X3D,Vermeer,8 / 16,3.4 to 4.5 GHz,Socket AM4,7 nm,96MB,105 W,"Apr 20th, 2022",
46,Ryzen 7 5825C,Cezanne-U,8 / 16,2 to 4.5 GHz,Socket FP6,7 nm,16MB,15 W,"May 5th, 2022",
47,Ryzen 7 5825U,Barcelo,8 / 16,2 to 4.5 GHz,Socket FP6,7 nm,16MB,15 W,"Jan 6th, 2022",
48,Ryzen 7 6800H,Rembrandt,8 / 16,3.2 to 4.7 GHz,Socket FP7,6 nm,16MB,45 W,Jan 2022,
49,Ryzen 7 6800HS,Rembrandt,8 / 16,3.2 to 4.7 GHz,Socket FP7,6 nm,16MB,35 W,Jan 2022,
50,Ryzen 7 6800U,Rembrandt,8 / 16,2.7 to 4.7 GHz,Socket FP7,6 nm,16MB,15 W,Jan 2022,
51,Ryzen 7 7700X,Raphael,8 / 16,4.5 to 5.4 GHz,Socket AM5,5 nm,32MB,105 W,"Sep 27th, 2022",
52,Ryzen 7 PRO 5875U,Cezanne-U,8 / 16,2 to 4.5 GHz,Socket FP6,7 nm,16MB,15 W,"Apr 19th, 2022",
53,Ryzen 7 PRO 6850H,Rembrandt,8 / 16,3.2 to 4.7 GHz,Socket FP7,6 nm,16MB,45 W,"Apr 19th, 2022",
54,Ryzen 7 PRO 6850HS,Rembrandt,8 / 16,3.2 to 4.7 GHz,Socket FP7,6 nm,16MB,35 W,"Apr 19th, 2022",
55,Ryzen 7 PRO 6850U,Rembrandt,8 / 16,2.7 to 4.7 GHz,Socket FP7,6 nm,16MB,15 W,"Apr 19th, 2022",
56,Ryzen 9 6900HS,Rembrandt,8 / 16,3.3 to 4.9 GHz,Socket FP7,6 nm,16MB,35 W,Jan 2022,
57,Ryzen 9 6900HX,Rembrandt,8 / 16,3.3 to 4.9 GHz,Socket FP7,6 nm,16MB,45 W,Jan 2022,
58,Ryzen 9 6980HS,Rembrandt,8 / 16,3.3 to 5 GHz,Socket FP7,6 nm,16MB,45 W,Jan 2022,
59,Ryzen 9 6980HX,Rembrandt,8 / 16,3.3 to 5 GHz,Socket FP7,6 nm,16MB,45 W,Jan 2022,
60,Ryzen 9 7900X,Raphael,12 / 24,4.7 to 5.6 GHz,Socket AM5,5 nm,64MB,170 W,"Sep 27th, 2022",
61,Ryzen 9 7950X,Raphael,16 / 32,4.5 to 5.7 GHz,Socket AM5,5 nm,64MB,170 W,"Sep 27th, 2022",
62,Ryzen 9 PRO 6950H,Rembrandt,8 / 16,3.3 to 4.9 GHz,Socket FP7,6 nm,16MB,45 W,"Apr 19th, 2022",
63,Ryzen 9 PRO 6950HS,Rembrandt,8 / 16,3.3 to 4.9 GHz,Socket FP7,6 nm,16MB,35 W,"Apr 19th, 2022",
64,Ryzen Threadripper 5990X,Chagall,64 / 128,2.5 to 4.45 GHz,Socket TRX4,7 nm,256MB,280 W,Never Released,
65,Ryzen Threadripper PRO 5945WX,Chagall PRO,12 / 24,4.1 to 4.5 GHz,Socket WRX8,7 nm,64MB,280 W,"Mar 8th, 2022",
66,Ryzen Threadripper PRO 5955WX,Chagall PRO,16 / 32,4 to 4.5 GHz,Socket WRX8,7 nm,64MB,280 W,"Mar 8th, 2022",
67,Ryzen Threadripper PRO 5965WX,Chagall PRO,24 / 48,3.8 to 4.5 GHz,Socket WRX8,7 nm,128MB,280 W,"Mar 8th, 2022",
68,Ryzen Threadripper PRO 5975WX,Chagall PRO,32 / 64,3.6 to 4.5 GHz,Socket WRX8,7 nm,128MB,280 W,"Mar 8th, 2022",
69,Ryzen Threadripper PRO 5995WX,Chagall PRO,64 / 128,2.7 to 4.5 GHz,Socket WRX8,7 nm,256MB,280 W,"Mar 8th, 2022",
