,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel
55,Core i7-13850HX,Raptor Lake-HX,20 / 28,2.1 to 5.3 GHz,BGA 1964,10 nm,30MB,55 W,"Jan 4th, 2023",
56,Core i9-13900,Raptor Lake-S,24 / 32,2 to 5.6 GHz,Socket 1700,10 nm,36MB,65 W,"Jan 4th, 2023",
57,Core i9-13900E,Raptor Lake-S,24 / 32,1.8 to 5.2 GHz,Socket 1700,10 nm,36MB,65 W,"Jan 4th, 2023",
58,Core i9-13900F,Raptor Lake-S,24 / 32,2 to 5.6 GHz,Socket 1700,10 nm,36MB,65 W,"Jan 4th, 2023",
59,Core i9-13900H,Raptor Lake-H,14 / 20,2.6 to 5.4 GHz,BGA 1744,10 nm,24MB,45 W,"Jan 4th, 2023",
60,Core i9-13900HK,Raptor Lake-H,14 / 20,2.6 to 5.4 GHz,BGA 1744,10 nm,24MB,45 W,"Jan 4th, 2023",
61,Core i9-13900HX,Raptor Lake-HX,24 / 32,2.2 to 5.4 GHz,BGA 1964,10 nm,36MB,55 W,"Jan 4th, 2023",
62,Core i9-13900KS,Raptor Lake-S,24 / 32,3.2 to 6 GHz,Socket 1700,10 nm,36MB,150 W,"Jan 12th, 2023",
63,Core i9-13900T,Raptor Lake-S,24 / 32,1.1 to 5.3 GHz,Socket 1700,10 nm,36MB,35 W,"Jan 4th, 2023",
64,Core i9-13900TE,Raptor Lake-S,24 / 32,1 to 5 GHz,Socket 1700,10 nm,36MB,35 W,"Jan 4th, 2023",
65,Core i9-13905H,Raptor Lake-H,14 / 20,2.6 to 5.4 GHz,BGA 1744,10 nm,24MB,45 W,"Jan 4th, 2023",
66,Core i9-13950HX,Raptor Lake-HX,24 / 32,2.2 to 5.5 GHz,BGA 1964,10 nm,36MB,55 W,"Jan 4th, 2023",
67,Core i9-13980HX,Raptor Lake-HX,24 / 32,2.2 to 5.6 GHz,BGA 1964,10 nm,36MB,55 W,"Jan 4th, 2023",
68,Processor N100,Gracemont,4,0.1 to 3.4 GHz,BGA 1744,10 nm,6MB,6 W,"Jan 3rd, 2023",
69,Processor N200,Gracemont,4,0.1 to 3.7 GHz,BGA 1744,10 nm,6MB,6 W,"Jan 3rd, 2023",
70,Processor N50,Gracemont,2,1 to 3.4 GHz,BGA 1744,10 nm,6MB,6 W,"Jan 3rd, 2023",
71,Processor N97,Gracemont,4,2 to 3.6 GHz,BGA 1744,10 nm,6MB,12 W,"Jan 3rd, 2023",
72,Processor U300,Raptor Lake-U,5 / 6,1.2 to 4.4 GHz,BGA 1744,10 nm,8MB,15 W,"Jan 4th, 2023",
73,Processor U300E,Raptor Lake-U,5 / 6,1.1 to 4.3 GHz,BGA 1744,10 nm,8MB,15 W,"Jan 4th, 2023",
74,Xeon Max 9460,Sapphire Rapids HBM,40 / 80,2.2 to 3.5 GHz,Socket 4677,10 nm,97.5MB,350 W,"Jan 10th, 2023",
75,Xeon Max 9462,Sapphire Rapids HBM,32 / 64,2.7 to 3.5 GHz,Socket 4677,10 nm,75MB,350 W,"Jan 10th, 2023",
76,Xeon Max 9468,Sapphire Rapids HBM,48 / 96,2.1 to 3.5 GHz,Socket 4677,10 nm,105MB,350 W,"Jan 10th, 2023",
77,Xeon Max 9470,Sapphire Rapids HBM,52 / 104,2 to 3.5 GHz,Socket 4677,10 nm,105MB,350 W,"Jan 10th, 2023",
78,Xeon Max 9480,Sapphire Rapids HBM,56 / 112,1.9 to 3.5 GHz,Socket 4677,10 nm,112.5MB,350 W,"Jan 10th, 2023",
79,Xeon Platinum 8460Y+,Sapphire Rapids,40 / 80,2 to 3.7 GHz,Socket 4677,10 nm,105MB,300 W,"Jan 10th, 2023",
80,Xeon Platinum 8461V,Sapphire Rapids,48 / 96,2.2 to 3.7 GHz,Socket 4677,10 nm,97.5MB,300 W,"Jan 10th, 2023",
81,Xeon Platinum 8468,Sapphire Rapids,48 / 96,2.1 to 3.8 GHz,Socket 4677,10 nm,105MB,350 W,"Jan 10th, 2023",
82,Xeon Platinum 8470,Sapphire Rapids,52 / 104,2 to 3.8 GHz,Socket 4677,10 nm,105MB,350 W,"Jan 10th, 2023",
83,Xeon Platinum 8470N,Sapphire Rapids,52 / 104,1.7 to 3.6 GHz,Socket 4677,10 nm,97.5MB,300 W,"Jan 10th, 2023",
84,Xeon Platinum 8470Q,Sapphire Rapids,52 / 104,2.1 to 3.8 GHz,Socket 4677,10 nm,105MB,350 W,"Jan 10th, 2023",
85,Xeon Platinum 8471N,Sapphire Rapids,52 / 104,1.8 to 3.6 GHz,Socket 4677,10 nm,97.5MB,300 W,"Jan 10th, 2023",
86,Xeon Platinum 8480+,Sapphire Rapids,56 / 112,2 to 3.8 GHz,Socket 4677,10 nm,105MB,350 W,"Jan 10th, 2023",
87,Xeon Platinum 8490H,Sapphire Rapids,60 / 120,1.9 to 3.5 GHz,Socket 4677,10 nm,112.5MB,350 W,"Jan 10th, 2023",
