,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel
,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released,Unnamed: 9_level_1
0,Atom x7211E,Gracemont,2,1 to 3.2 GHz,BGA 1744,10 nm,6MB,6 W,"Jan 3rd, 2023",
1,Atom x7213E,Gracemont,2,1.7 to 3.2 GHz,BGA 1744,10 nm,6MB,6 W,"Jan 3rd, 2023",
2,Atom x7425E,Gracemont,4,1.5 to 3.4 GHz,BGA 1744,10 nm,6MB,12 W,"Jan 3rd, 2023",
3,Core i3-1305U,Raptor Lake-U,5 / 6,1.6 to 4.5 GHz,BGA 1744,10 nm,10MB,15 W,"Jan 4th, 2023",
4,Core i3-13100,Raptor Lake-S,4 / 8,3.4 to 4.5 GHz,Socket 1700,10 nm,12MB,60 W,"Jan 4th, 2023",
5,Core i3-13100E,Raptor Lake-S,4 / 8,3.3 to 4.4 GHz,Socket 1700,10 nm,12MB,60 W,"Jan 4th, 2023",
6,Core i3-13100F,Raptor Lake-S,4 / 8,3.4 to 4.5 GHz,Socket 1700,10 nm,12MB,58 W,"Jan 4th, 2023",
7,Core i3-13100T,Raptor Lake-S,4 / 8,2.5 to 4.2 GHz,Socket 1700,10 nm,12MB,35 W,"Jan 4th, 2023",
8,Core i3-13100TE,Raptor Lake-S,4 / 8,2.4 to 4.1 GHz,Socket 1700,10 nm,12MB,35 W,"Jan 4th, 2023",
9,Core i3-1315U,Raptor Lake-U,6 / 8,1.2 to 4.5 GHz,BGA 1744,10 nm,10MB,15 W,"Jan 4th, 2023",
10,Core i3-1315UE,Raptor Lake-U,6 / 8,1.2 to 4.5 GHz,BGA 1744,10 nm,10MB,15 W,"Jan 4th, 2023",
11,Core i3-N300,Gracemont,8,0.1 to 3.7 GHz,BGA 1744,10 nm,6MB,7 W,"Jan 3rd, 2023",
12,Core i3-N305,Gracemont,8,0.1 to 3.8 GHz,BGA 1744,10 nm,6MB,15 W,"Jan 3rd, 2023",
13,Core i5-1334U,Raptor Lake-U,10 / 12,1.3 to 4.6 GHz,BGA 1744,10 nm,12MB,15 W,"Jan 4th, 2023",
14,Core i5-1335U,Raptor Lake-U,10 / 12,1.3 to 4.6 GHz,BGA 1744,10 nm,12MB,15 W,"Jan 4th, 2023",
15,Core i5-1335UE,Raptor Lake-U,10 / 12,1.3 to 4.5 GHz,BGA 1744,10 nm,12MB,15 W,"Jan 4th, 2023",
16,Core i5-13400,Raptor Lake-S,10 / 16,2.5 to 4.6 GHz,Socket 1700,10 nm,20MB,65 W,"Jan 4th, 2023",
17,Core i5-13400E,Raptor Lake-S,10 / 16,2.4 to 4.6 GHz,Socket 1700,10 nm,20MB,65 W,"Jan 4th, 2023",
18,Core i5-13400F,Raptor Lake-S,10 / 16,2.5 to 4.6 GHz,Socket 1700,10 nm,20MB,65 W,"Jan 4th, 2023",
19,Core i5-13400T,Raptor Lake-S,10 / 16,1.3 to 4.4 GHz,Socket 1700,10 nm,20MB,35 W,"Jan 4th, 2023",
20,Core i5-1340P,Raptor Lake-P,12 / 16,1.9 to 4.6 GHz,BGA 1744,10 nm,18MB,28 W,"Jan 4th, 2023",
21,Core i5-13420H,Raptor Lake-H,8 / 12,2.1 to 4.6 GHz,BGA 1744,10 nm,12MB,45 W,"Jan 4th, 2023",
22,Core i5-13450HX,Raptor Lake-HX,10 / 16,2.4 to 4.6 GHz,BGA 1964,10 nm,20MB,55 W,"Jan 4th, 2023",
23,Core i5-1345U,Raptor Lake-U,10 / 12,1.6 to 4.7 GHz,BGA 1744,10 nm,12MB,15 W,"Jan 4th, 2023",
24,Core i5-1345UE,Raptor Lake-U,10 / 12,1.4 to 4.6 GHz,BGA 1744,10 nm,12MB,15 W,"Jan 4th, 2023",
25,Core i5-13490F,Raptor Lake-S,10 / 16,2.5 to 4.8 GHz,Socket 1700,10 nm,24MB,65 W,"Feb 10th, 2023",
26,Core i5-13500,Raptor Lake-S,14 / 20,2.5 to 4.8 GHz,Socket 1700,10 nm,24MB,65 W,"Jan 4th, 2023",
27,Core i5-13500E,Raptor Lake-S,14 / 20,2.4 to 4.6 GHz,Socket 1700,10 nm,24MB,65 W,"Jan 4th, 2023",
28,Core i5-13500H,Raptor Lake-H,12 / 16,2.6 to 4.7 GHz,BGA 1744,10 nm,18MB,45 W,"Jan 4th, 2023",
29,Core i5-13500HX,Raptor Lake-HX,14 / 20,2.5 to 4.7 GHz,BGA 1964,10 nm,24MB,55 W,"Jan 4th, 2023",
30,Core i5-13500T,Raptor Lake-S,14 / 20,1.6 to 4.6 GHz,Socket 1700,10 nm,24MB,35 W,"Jan 4th, 2023",
31,Core i5-13500TE,Raptor Lake-S,14 / 20,1.3 to 4.5 GHz,Socket 1700,10 nm,24MB,35 W,"Jan 4th, 2023",
32,Core i5-13505H,Raptor Lake-H,12 / 16,2.6 to 4.7 GHz,BGA 1744,10 nm,18MB,45 W,"Jan 4th, 2023",
33,Core i5-1350P,Raptor Lake-P,12 / 16,1.9 to 4.7 GHz,BGA 1744,10 nm,18MB,28 W,"Jan 4th, 2023",
34,Core i5-13600,Raptor Lake-S,14 / 20,2.7 to 5 GHz,Socket 1700,10 nm,24MB,65 W,"Jan 4th, 2023",
35,Core i5-13600H,Raptor Lake-H,12 / 16,2.8 to 4.8 GHz,BGA 1744,10 nm,18MB,45 W,"Jan 4th, 2023",
36,Core i5-13600HX,Raptor Lake-HX,14 / 20,2.6 to 4.8 GHz,BGA 1964,10 nm,24MB,55 W,"Jan 4th, 2023",
37,Core i5-13600T,Raptor Lake-S,14 / 20,1.8 to 4.8 GHz,Socket 1700,10 nm,24MB,35 W,"Jan 4th, 2023",
38,Core i7-1355U,Raptor Lake-U,10 / 12,1.7 to 5 GHz,BGA 1744,10 nm,12MB,15 W,"Jan 4th, 2023",
39,Core i7-1360P,Raptor Lake-P,12 / 16,2.2 to 5 GHz,BGA 1744,10 nm,18MB,28 W,"Jan 4th, 2023",
40,Core i7-13620H,Raptor Lake-H,10 / 16,2.4 to 4.9 GHz,BGA 1744,10 nm,24MB,45 W,"Jan 4th, 2023",
41,Core i7-13650HX,Raptor Lake-HX,14 / 20,2.6 to 4.9 GHz,BGA 1964,10 nm,24MB,55 W,"Jan 4th, 2023",
42,Core i7-1365U,Raptor Lake-U,10 / 12,1.8 to 5.2 GHz,BGA 1744,10 nm,12MB,15 W,"Jan 4th, 2023",
43,Core i7-1365UE,Raptor Lake-U,10 / 12,1.7 to 4.9 GHz,BGA 1744,10 nm,12MB,15 W,"Jan 4th, 2023",
44,Core i7-13700,Raptor Lake-S,16 / 24,2.1 to 5.2 GHz,Socket 1700,10 nm,30MB,65 W,"Jan 4th, 2023",
45,Core i7-13700E,Raptor Lake-S,16 / 24,1.9 to 5.1 GHz,Socket 1700,10 nm,30MB,65 W,"Jan 4th, 2023",
46,Core i7-13700F,Raptor Lake-S,16 / 24,2.1 to 5.2 GHz,Socket 1700,10 nm,30MB,65 W,"Jan 4th, 2023",
47,Core i7-13700H,Raptor Lake-H,14 / 20,2.4 to 5 GHz,BGA 1744,10 nm,24MB,45 W,"Jan 4th, 2023",
48,Core i7-13700HX,Raptor Lake-HX,16 / 24,2.1 to 5 GHz,BGA 1964,10 nm,30MB,55 W,"Jan 4th, 2023",
49,Core i7-13700T,Raptor Lake-S,16 / 24,1.4 to 4.9 GHz,Socket 1700,10 nm,30MB,35 W,"Jan 4th, 2023",
50,Core i7-13700TE,Raptor Lake-S,16 / 24,1.1 to 4.8 GHz,Socket 1700,10 nm,30MB,35 W,"Jan 4th, 2023",
51,Core i7-13705H,Raptor Lake-H,14 / 20,2.4 to 5 GHz,BGA 1744,10 nm,24MB,45 W,"Jan 4th, 2023",
52,Core i7-1370P,Raptor Lake-P,14 / 20,1.9 to 5.2 GHz,BGA 1744,10 nm,24MB,28 W,"Jan 4th, 2023",
53,Core i7-13790F,Raptor Lake-S,16 / 24,2.1 to 5.2 GHz,Socket 1700,10 nm,33MB,65 W,"Feb 10th, 2023",
54,Core i7-13800H,Raptor Lake-H,14 / 20,2.5 to 5.2 GHz,BGA 1744,10 nm,24MB,45 W,"Jan 4th, 2023",
