,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD
,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released,Unnamed: 9_level_1
0,Ryzen 3 7330U,Barcelo-R,4 / 8,2.3 to 4.3 GHz,Socket FP6,7 nm,8MB,15 W,"Jan 4th, 2023",
1,Ryzen 3 7335U,Rembrandt-R,4 / 8,3 to 4.3 GHz,Socket FP7,6 nm,8MB,28 W,"Jan 4th, 2023",
2,Ryzen 5 7530U,Barcelo-R,6 / 12,2 to 4.5 GHz,Socket FP6,7 nm,16MB,15 W,"Jan 4th, 2023",
3,Ryzen 5 7535HS,Rembrandt-R,6 / 12,3.3 to 4.55 GHz,Socket FP7,6 nm,16MB,35 W,"Jan 4th, 2023",
4,Ryzen 5 7535U,Rembrandt-R,6 / 12,2.9 to 4.55 GHz,Socket FP7,6 nm,16MB,28 W,"Jan 4th, 2023",
5,Ryzen 5 7600,Raphael,6 / 12,3.8 to 5.1 GHz,Socket AM5,5 nm,32MB,65 W,"Jan 14th, 2023",
6,Ryzen 5 7640HS,Phoenix,6 / 12,4.3 to 5 GHz,Socket FP8,4 nm,16MB,35 W,Jan 2023,
7,Ryzen 5 7645HX,Dragon Range,6 / 12,4 to 5 GHz,Socket FL1,5 nm,32MB,45 W,"Jan 4th, 2023",
8,Ryzen 7 7700,Raphael,8 / 16,4.3 to 5.3 GHz,Socket AM5,5 nm,32MB,65 W,"Jan 14th, 2023",
9,Ryzen 7 7730U,Barcelo-R,8 / 16,2 to 4.5 GHz,Socket FP6,7 nm,16MB,15 W,"Jan 4th, 2023",
10,Ryzen 7 7735HS,Rembrandt-R,8 / 16,3.2 to 4.75 GHz,Socket FP7,6 nm,16MB,35 W,"Jan 4th, 2023",
11,Ryzen 7 7735U,Rembrandt-R,8 / 16,2.7 to 4.75 GHz,Socket FP7,6 nm,16MB,28 W,"Jan 4th, 2023",
12,Ryzen 7 7745HX,Dragon Range,8 / 16,3.6 to 5.1 GHz,Socket FL1,5 nm,32MB,55 W,"Jan 4th, 2023",
13,Ryzen 7 7800X3D,Raphael,8 / 16,4.4 to 5 GHz,Socket AM5,5 nm,96MB,120 W,"Jan 4th, 2023",
14,Ryzen 7 7840HS,Phoenix,8 / 16,3.8 to 5.1 GHz,Socket FP8,4 nm,16MB,35 W,Jan 2023,
15,Ryzen 9 7845HX,Dragon Range,12 / 24,3 to 5.2 GHz,Socket FL1,5 nm,64MB,55 W,"Jan 4th, 2023",
16,Ryzen 9 7900,Raphael,12 / 24,4.3 to 5.4 GHz,Socket AM5,5 nm,64MB,65 W,"Jan 14th, 2023",
17,Ryzen 9 7900X3D,Raphael,12 / 24,4.4 to 5.6 GHz,Socket AM5,5 nm,128MB,120 W,"Jan 4th, 2023",
18,Ryzen 9 7940HS,Phoenix,8 / 16,4 to 5.2 GHz,Socket FP8,4 nm,16MB,35 W,Jan 2023,
19,Ryzen 9 7945HX,Dragon Range,16 / 32,2.5 to 5.4 GHz,Socket FL1,5 nm,64MB,55 W,"Jan 4th, 2023",
20,Ryzen 9 7950X3D,Raphael,16 / 32,4.2 to 5.7 GHz,Socket AM5,5 nm,128MB,120 W,"Jan 4th, 2023",
