,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel
,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released,Unnamed: 9_level_1
0,Core i5-11260H,Tiger Lake-H,6 / 12,2.1 to 4.4 GHz,BGA 1787,10 nm,12MB,35 W,"May 11th, 2021",
1,Core i5-11320H,Tiger Lake-H,4 / 8,2.5 to 4.5 GHz,BGA 1449,10 nm,8MB,28 W,"Jun 21st, 2021",
2,Core i5-11400H,Tiger Lake-H,6 / 12,2.2 to 4.5 GHz,BGA 1787,10 nm,12MB,35 W,"May 11th, 2021",
3,Core i5-11500H,Tiger Lake-H,6 / 12,2.4 to 4.6 GHz,BGA 1787,10 nm,12MB,35 W,"May 11th, 2021",
4,Core i5-1155G7,Tiger Lake-U,4 / 8,2.5 to 4.5 GHz,BGA 1449,10 nm,8MB,28 W,"May 31st, 2021",
5,Core i5-11600,Rocket Lake,6 / 12,2.8 to 4.8 GHz,Socket 1200,14 nm,12MB,65 W,"Mar 16th, 2021",
6,Core i5-11600K,Rocket Lake,6 / 12,3.9 to 4.9 GHz,Socket 1200,14 nm,12MB,125 W,"Mar 16th, 2021",
7,Core i5-11600KF,Rocket Lake,6 / 12,3.9 to 4.9 GHz,Socket 1200,14 nm,12MB,125 W,"Mar 16th, 2021",
8,Core i5-11600T,Rocket Lake,6 / 12,1.7 to 4.1 GHz,Socket 1200,14 nm,12MB,35 W,"Mar 16th, 2021",
9,Core i5-12600K,Alder Lake-S,10 / 16,3.7 to 4.9 GHz,Socket 1700,10 nm,20MB,125 W,"Nov 4th, 2021",
10,Core i5-12600KF,Alder Lake-S,10 / 16,3.7 to 4.9 GHz,Socket 1700,10 nm,20MB,125 W,"Nov 4th, 2021",
11,Core i7-11390H,Tiger Lake-H,4 / 8,2.9 to 5 GHz,BGA 1449,10 nm,12MB,28 W,"Jun 21st, 2021",
12,Core i7-11600H,Tiger Lake-H,6 / 12,2.5 to 4.6 GHz,BGA 1787,10 nm,18MB,35 W,"May 11th, 2021",
13,Core i7-11700,Rocket Lake,8 / 16,2.5 to 4.9 GHz,Socket 1200,14 nm,16MB,65 W,"Mar 16th, 2021",
14,Core i7-11700F,Rocket Lake,8 / 16,2.5 to 4.9 GHz,Socket 1200,14 nm,16MB,65 W,"Mar 16th, 2021",
15,Core i7-11700K,Rocket Lake,8 / 16,3.6 to 5 GHz,Socket 1200,14 nm,16MB,125 W,"Mar 16th, 2021",
16,Core i7-11700KF,Rocket Lake,8 / 16,3.6 to 5 GHz,Socket 1200,14 nm,16MB,125 W,"Mar 16th, 2021",
17,Core i7-11700T,Rocket Lake,8 / 16,1.4 to 4.6 GHz,Socket 1200,14 nm,16MB,35 W,"Mar 16th, 2021",
18,Core i7-11800H,Tiger Lake-H,8 / 16,1.9 to 4.6 GHz,BGA 1787,10 nm,24MB,35 W,"May 11th, 2021",
19,Core i7-11850H,Tiger Lake-H,8 / 16,2.1 to 4.8 GHz,BGA 1787,10 nm,24MB,35 W,"May 11th, 2021",
20,Core i7-1195G7,Tiger Lake-U,4 / 8,2.9 to 5 GHz,BGA 1449,10 nm,12MB,28 W,"May 31st, 2021",
