,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel
21,Core i7-12700K,Alder Lake-S,12 / 20,3.6 to 5 GHz,Socket 1700,10 nm,25MB,125 W,"Nov 4th, 2021",
22,Core i7-12700KF,Alder Lake-S,12 / 20,3.6 to 5 GHz,Socket 1700,10 nm,25MB,125 W,"Nov 4th, 2021",
23,Core i9-11900,Rocket Lake,8 / 16,2.5 to 5.2 GHz,Socket 1200,14 nm,16MB,65 W,"Mar 16th, 2021",
24,Core i9-11900F,Rocket Lake,8 / 16,2.5 to 5.2 GHz,Socket 1200,14 nm,16MB,65 W,"Mar 16th, 2021",
25,Core i9-11900H,Tiger Lake-H,8 / 16,2.1 to 4.9 GHz,BGA 1787,10 nm,24MB,35 W,"May 11th, 2021",
26,Core i9-11900K,Rocket Lake,8 / 16,3.5 to 5.3 GHz,Socket 1200,14 nm,16MB,125 W,"Mar 16th, 2021",
27,Core i9-11900KB,Tiger Lake-H,8 / 16,3.3 to 5.3 GHz,BGA 1787,10 nm,24MB,65 W,May 2021,
28,Core i9-11900KF,Rocket Lake,8 / 16,3.5 to 5.3 GHz,Socket 1200,14 nm,16MB,125 W,"Mar 16th, 2021",
29,Core i9-11900T,Rocket Lake,8 / 16,1.5 to 4.9 GHz,Socket 1200,14 nm,16MB,35 W,"Mar 16th, 2021",
30,Core i9-11950H,Tiger Lake-H,8 / 16,2.1 to 5 GHz,BGA 1787,10 nm,24MB,35 W,"May 11th, 2021",
31,Core i9-11980HK,Tiger Lake-H,8 / 16,2.6 to 5 GHz,BGA 1787,10 nm,24MB,45 W,"May 11th, 2021",
32,Core i9-12900K,Alder Lake-S,16 / 24,3.2 to 5.2 GHz,Socket 1700,10 nm,30MB,125 W,"Nov 4th, 2021",
33,Core i9-12900KF,Alder Lake-S,16 / 24,3.2 to 5.2 GHz,Socket 1700,10 nm,30MB,125 W,"Nov 4th, 2021",
34,Xeon E-2314,Rocket Lake-E,4,2.8 to 4.5 GHz,Socket 1200,14 nm,8MB,65 W,"Sep 8th, 2021",
35,Xeon E-2324G,Rocket Lake-E,4,3.1 to 4.6 GHz,Socket 1200,14 nm,8MB,65 W,"Sep 8th, 2021",
36,Xeon E-2334,Rocket Lake-E,4 / 8,3.4 to 4.8 GHz,Socket 1200,14 nm,8MB,65 W,"Sep 8th, 2021",
37,Xeon E-2336,Rocket Lake-E,6 / 12,2.9 to 4.8 GHz,Socket 1200,14 nm,12MB,65 W,"Sep 8th, 2021",
38,Xeon E-2356G,Rocket Lake-E,6 / 12,3.2 to 5 GHz,Socket 1200,14 nm,12MB,80 W,"Sep 8th, 2021",
39,Xeon E-2374G,Rocket Lake-E,4 / 8,3.7 to 5 GHz,Socket 1200,14 nm,8MB,80 W,"Sep 8th, 2021",
40,Xeon E-2378,Rocket Lake-E,8 / 16,2.6 to 4.8 GHz,Socket 1200,14 nm,16MB,65 W,"Sep 8th, 2021",
41,Xeon E-2378G,Rocket Lake-E,8 / 16,2.8 to 5.1 GHz,Socket 1200,14 nm,16MB,80 W,"Sep 8th, 2021",
42,Xeon E-2386G,Rocket Lake-E,6 / 12,3.5 to 5.1 GHz,Socket 1200,14 nm,12MB,95 W,"Sep 8th, 2021",
43,Xeon E-2388G,Rocket Lake-E,8 / 16,3.2 to 5.1 GHz,Socket 1200,14 nm,16MB,95 W,"Sep 8th, 2021",
44,Xeon Gold 5315Y,Ice Lake-SP,8 / 16,3.2 to 3.6 GHz,Socket 4189,10 nm,12MB,140 W,"Apr 6th, 2021",
45,Xeon Gold 5317,Ice Lake-SP,12 / 24,3 to 3.6 GHz,Socket 4189,10 nm,18MB,150 W,"Apr 6th, 2021",
46,Xeon Gold 5318H,Cooper Lake-SP,18 / 36,2.5 to 3.8 GHz,Socket 4189,14 nm,24.75MB,150 W,"Apr 6th, 2021",
47,Xeon Gold 5318N,Ice Lake-SP,24 / 48,2.1 to 3.4 GHz,Socket 4189,10 nm,36MB,150 W,"Apr 6th, 2021",
48,Xeon Gold 5318S,Ice Lake-SP,24 / 48,2.1 to 3.4 GHz,Socket 4189,10 nm,36MB,165 W,"Apr 6th, 2021",
49,Xeon Gold 5318Y,Ice Lake-SP,24 / 48,2.1 to 3.4 GHz,Socket 4189,10 nm,36MB,165 W,"Apr 6th, 2021",
50,Xeon Gold 5320,Ice Lake-SP,26 / 52,2.2 to 3.4 GHz,Socket 4189,10 nm,39MB,185 W,"Apr 6th, 2021",
51,Xeon Gold 5320H,Cooper Lake-SP,20 / 40,2.4 to 4.2 GHz,Socket 4189,14 nm,27.5MB,150 W,"Apr 6th, 2021",
52,Xeon Gold 5320T,Ice Lake-SP,20 / 40,2.3 to 3.5 GHz,Socket 4189,10 nm,30MB,150 W,"Apr 6th, 2021",
53,Xeon Gold 6312U,Ice Lake-SP,24 / 48,2.4 to 3.6 GHz,Socket 4189,10 nm,36MB,185 W,"Apr 6th, 2021",
54,Xeon Gold 6314U,Ice Lake-SP,32 / 64,2.3 to 3.4 GHz,Socket 4189,10 nm,48MB,205 W,"Apr 6th, 2021",
55,Xeon Gold 6326,Ice Lake-SP,16 / 32,2.9 to 3.5 GHz,Socket 4189,10 nm,24MB,185 W,"Apr 6th, 2021",
56,Xeon Gold 6328H,Cooper Lake-SP,16 / 32,2.8 to 4.3 GHz,Socket 4189,14 nm,22MB,165 W,"Apr 6th, 2021",
57,Xeon Gold 6328HL,Cooper Lake-SP,16 / 32,2.8 to 4.3 GHz,Socket 4189,14 nm,22MB,165 W,"Apr 6th, 2021",
58,Xeon Gold 6330,Ice Lake-SP,28 / 56,2 to 3.1 GHz,Socket 4189,10 nm,42MB,205 W,"Apr 6th, 2021",
59,Xeon Gold 6330H,Cooper Lake-SP,24 / 48,2 to 3.7 GHz,Socket 4189,14 nm,33MB,150 W,"Apr 6th, 2021",
60,Xeon Gold 6334,Ice Lake-SP,8 / 16,3.6 to 3.7 GHz,Socket 4189,10 nm,18MB,165 W,"Apr 6th, 2021",
61,Xeon Gold 6336Y,Ice Lake-SP,24 / 48,2.4 to 3.6 GHz,Socket 4189,10 nm,36MB,185 W,"Apr 6th, 2021",
62,Xeon Gold 6338N,Ice Lake-SP,32 / 64,2.2 to 3.5 GHz,Socket 4189,10 nm,48MB,185 W,"Apr 6th, 2021",
63,Xeon Gold 6338T,Ice Lake-SP,24 / 48,2.1 to 3.4 GHz,Socket 4189,10 nm,36MB,165 W,"Apr 6th, 2021",
64,Xeon Gold 6342,Ice Lake-SP,24 / 48,2.8 to 3.5 GHz,Socket 4189,10 nm,36MB,230 W,"Apr 6th, 2021",
65,Xeon Gold 6346,Ice Lake-SP,16 / 32,3.1 to 3.6 GHz,Socket 4189,10 nm,36MB,205 W,"Apr 6th, 2021",
66,Xeon Gold 6348,Ice Lake-SP,28 / 56,2.6 to 3.5 GHz,Socket 4189,10 nm,42MB,235 W,"Apr 6th, 2021",
67,Xeon Gold 6348H,Cooper Lake-SP,24 / 48,2.3 to 4.2 GHz,Socket 4189,14 nm,33MB,165 W,"Apr 6th, 2021",
68,Xeon Gold 6354,Ice Lake-SP,18 / 36,3 to 3.6 GHz,Socket 4189,10 nm,39MB,205 W,"Apr 6th, 2021",
69,Xeon Platinum 8351N,Ice Lake-SP,36 / 72,2.4 to 3.5 GHz,Socket 4189,10 nm,54MB,225 W,"Apr 6th, 2021",
70,Xeon Platinum 8352M,Ice Lake-SP,32 / 64,2.3 to 3.5 GHz,Socket 4189,10 nm,48MB,185 W,"Apr 6th, 2021",
71,Xeon Platinum 8352S,Ice Lake-SP,32 / 64,2.2 to 3.4 GHz,Socket 4189,10 nm,48MB,205 W,"Apr 6th, 2021",
72,Xeon Platinum 8352V,Ice Lake-SP,36 / 72,2.5 to 3.5 GHz,Socket 4189,10 nm,54MB,195 W,"Apr 6th, 2021",
73,Xeon Platinum 8353H,Cooper Lake-SP,18 / 36,2.5 to 3.8 GHz,Socket 4189,14 nm,24.75MB,150 W,"Apr 6th, 2021",
74,Xeon Platinum 8354H,Cooper Lake-SP,18 / 36,3.1 to 4.3 GHz,Socket 4189,14 nm,24.75MB,205 W,"Apr 6th, 2021",
75,Xeon Platinum 8356H,Cooper Lake-SP,8 / 16,3.9 to 4.4 GHz,Socket 4189,14 nm,35.75MB,190 W,"Apr 6th, 2021",
76,Xeon Platinum 8358,Ice Lake-SP,32 / 64,2.6 to 3.4 GHz,Socket 4189,10 nm,48MB,250 W,"Apr 6th, 2021",
77,Xeon Platinum 8358P,Ice Lake-SP,32 / 64,2.6 to 3.4 GHz,Socket 4189,10 nm,48MB,240 W,"Apr 6th, 2021",
78,Xeon Platinum 8360H,Cooper Lake-SP,24 / 48,3 to 4.2 GHz,Socket 4189,14 nm,33MB,225 W,"Apr 6th, 2021",
79,Xeon Platinum 8360HL,Cooper Lake-SP,24 / 48,3 to 4.2 GHz,Socket 4189,14 nm,33MB,225 W,"Apr 6th, 2021",
80,Xeon Platinum 8360Y,Ice Lake-SP,36 / 72,2.4 to 3.5 GHz,Socket 4189,10 nm,54MB,250 W,"Apr 6th, 2021",
81,Xeon Platinum 8362,Ice Lake-SP,32 / 64,2.8 to 3.6 GHz,Socket 4189,10 nm,48MB,265 W,"Apr 6th, 2021",
82,Xeon Platinum 8368,Ice Lake-SP,38 / 76,2.4 to 3.4 GHz,Socket 4189,10 nm,57MB,270 W,"Apr 6th, 2021",
83,Xeon Platinum 8368Q,Ice Lake-SP,38 / 76,2.6 to 3.7 GHz,Socket 4189,10 nm,57MB,270 W,"Apr 6th, 2021",
84,Xeon Platinum 8376H,Cooper Lake-SP,28 / 56,2.6 to 4.3 GHz,Socket 4189,14 nm,38.5MB,205 W,"Apr 6th, 2021",
85,Xeon Platinum 8376HL,Cooper Lake-SP,28 / 56,2.6 to 4.3 GHz,Socket 4189,14 nm,38.5MB,205 W,"Apr 6th, 2021",
86,Xeon Platinum 8380,Ice Lake-SP,40 / 80,2.3 to 3.4 GHz,Socket 4189,10 nm,60MB,270 W,"Apr 6th, 2021",
87,Xeon Platinum 8380H,Cooper Lake-SP,28 / 56,2.9 to 4.3 GHz,Socket 4189,14 nm,38.5MB,250 W,"Apr 6th, 2021",
88,Xeon Platinum 8380HL,Cooper Lake-SP,28 / 56,2.9 to 4.3 GHz,Socket 4189,14 nm,38.5MB,250 W,"Apr 6th, 2021",
89,Xeon Silver 4309Y,Ice Lake-SP,8 / 16,2.8 to 3.6 GHz,Socket 4189,10 nm,12MB,105 W,"Apr 6th, 2021",
90,Xeon Silver 4310,Ice Lake-SP,12 / 24,2.1 to 3.3 GHz,Socket 4189,10 nm,18MB,120 W,"Apr 6th, 2021",
91,Xeon Silver 4310T,Ice Lake-SP,10 / 20,2.3 to 3.4 GHz,Socket 4189,10 nm,15MB,105 W,"Apr 6th, 2021",
92,Xeon Silver 4314,Ice Lake-SP,16 / 32,2.4 to 3.4 GHz,Socket 4189,10 nm,24MB,135 W,"Apr 6th, 2021",
93,Xeon Silver 4316,Ice Lake-SP,20 / 40,2.3 to 3.4 GHz,Socket 4189,10 nm,30MB,150 W,"Apr 6th, 2021",
94,Xeon W-11855M,Tiger Lake-H,6 / 12,3.2 to 4.9 GHz,BGA 1787,10 nm,18MB,35 W,"May 11th, 2021",
95,Xeon W-11955M,Tiger Lake-H,8 / 16,2.1 to 5 GHz,BGA 1499,10 nm,24MB,35 W,"May 11th, 2021",
96,Xeon W-3323,Ice Lake-W,12 / 24,3.5 to 4 GHz,Socket 4189,10 nm,18MB,220 W,"Jul 29th, 2021",
97,Xeon W-3335,Ice Lake-W,16 / 32,3.4 to 4 GHz,Socket 4189,10 nm,24MB,250 W,"Jul 29th, 2021",
98,Xeon W-3345,Ice Lake-W,24 / 48,3 to 4 GHz,Socket 4189,10 nm,36MB,250 W,"Jul 29th, 2021",
99,Xeon W-3365,Ice Lake-W,32 / 64,2.7 to 4 GHz,Socket 4189,10 nm,48MB,270 W,"Jul 29th, 2021",
100,Xeon W-3375,Ice Lake-W,38 / 76,2.5 to 4 GHz,Socket 4189,10 nm,57MB,270 W,"Jul 29th, 2021",
