,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel
,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released,Unnamed: 9_level_1
44,Core i7-1255U,Alder Lake-U,10 / 12,1.7 to 4.7 GHz,BGA 1744,10 nm,12MB,15 W,"Feb 23rd, 2022",
45,Core i7-1260P,Alder Lake-P,12 / 16,2.1 to 4.7 GHz,BGA 1744,10 nm,18MB,28 W,"Feb 23rd, 2022",
46,Core i7-1260U,Alder Lake-U,10 / 12,1.1 to 4.7 GHz,BGA 1781,10 nm,12MB,9 W,"Feb 23rd, 2022",
47,Core i7-12650H,Alder Lake-H,10 / 16,2.3 to 4.7 GHz,BGA 1744,10 nm,24MB,45 W,Jan 2022,
48,Core i7-12650HX,Alder Lake-HX,14 / 20,2 to 4.7 GHz,BGA 1964,10 nm,24MB,55 W,"May 10th, 2022",
49,Core i7-1265U,Alder Lake-U,10 / 12,1.8 to 4.8 GHz,BGA 1744,10 nm,12MB,15 W,"Feb 23rd, 2022",
50,Core i7-12700,Alder Lake-S,12 / 20,3.3 to 4.9 GHz,Socket 1700,10 nm,25MB,65 W,Jan 2022,
51,Core i7-12700E,Alder Lake-S,12 / 20,2.1 to 4.8 GHz,Socket 1700,10 nm,25MB,65 W,Jan 2022,
52,Core i7-12700F,Alder Lake-S,12 / 20,3.3 to 4.9 GHz,Socket 1700,10 nm,25MB,65 W,"Jan 4th, 2022",
53,Core i7-12700H,Alder Lake-H,14 / 20,2.3 to 4.7 GHz,BGA 1744,10 nm,24MB,45 W,Jan 2022,
54,Core i7-12700T,Alder Lake-S,12 / 20,1.4 to 4.7 GHz,Socket 1700,10 nm,25MB,35 W,Jan 2022,
55,Core i7-12700TE,Alder Lake-S,12 / 20,1.4 to 4.6 GHz,Socket 1700,10 nm,25MB,35 W,Jan 2022,
56,Core i7-1270P,Alder Lake-P,12 / 16,2.2 to 4.8 GHz,BGA 1744,10 nm,18MB,28 W,"Feb 23rd, 2022",
57,Core i7-12800H,Alder Lake-H,14 / 20,2.4 to 4.8 GHz,BGA 1744,10 nm,24MB,45 W,Jan 2022,
58,Core i7-12800HE,Alder Lake-H,14 / 20,2.4 to 4.6 GHz,BGA 1744,10 nm,24MB,45 W,Jan 2022,
59,Core i7-12800HX,Alder Lake-HX,16 / 24,2 to 4.8 GHz,BGA 1964,10 nm,25MB,55 W,"May 10th, 2022",
60,Core i7-1280P,Alder Lake-P,14 / 20,1.8 to 4.8 GHz,BGA 1744,10 nm,24MB,28 W,"Feb 23rd, 2022",
61,Core i7-12850HX,Alder Lake-HX,16 / 24,2.1 to 4.8 GHz,BGA 1964,10 nm,25MB,55 W,"May 10th, 2022",
62,Core i7-13700K,Raptor Lake-S,16 / 24,3.4 to 5.4 GHz,Socket 1700,10 nm,30MB,125 W,"Sep 27th, 2022",
63,Core i7-13700KF,Raptor Lake-S,16 / 24,3.4 to 5.4 GHz,Socket 1700,10 nm,30MB,125 W,"Sep 27th, 2022",
64,Core i9-12900,Alder Lake-S,16 / 24,2.4 to 5.1 GHz,Socket 1700,10 nm,30MB,65 W,"Jan 4th, 2022",
65,Core i9-12900E,Alder Lake-S,16 / 24,2.3 to 5 GHz,Socket 1700,10 nm,30MB,65 W,"Jan 4th, 2022",
66,Core i9-12900F,Alder Lake-S,16 / 24,2.4 to 5.1 GHz,Socket 1700,10 nm,30MB,65 W,"Jan 4th, 2022",
67,Core i9-12900H,Alder Lake-H,14 / 20,2.5 to 5 GHz,BGA 1744,10 nm,24MB,45 W,"Jan 4th, 2022",
68,Core i9-12900HK,Alder Lake-H,14 / 20,2.5 to 5 GHz,BGA 1744,10 nm,24MB,45 W,"Jan 4th, 2022",
69,Core i9-12900HX,Alder Lake-HX,16 / 24,2.3 to 5 GHz,BGA 1964,10 nm,30MB,55 W,"May 10th, 2022",
70,Core i9-12900KS,Alder Lake-S,16 / 24,3.4 to 5.5 GHz,Socket 1700,10 nm,30MB,150 W,"Apr 5th, 2022",
71,Core i9-12900T,Alder Lake-S,16 / 24,1.4 to 4.9 GHz,Socket 1700,10 nm,30MB,35 W,"Jan 4th, 2022",
72,Core i9-12900TE,Alder Lake-S,16 / 24,1.1 to 4.8 GHz,Socket 1700,10 nm,30MB,35 W,"Jan 4th, 2022",
73,Core i9-12950HX,Alder Lake-HX,16 / 24,2.3 to 5 GHz,BGA 1964,10 nm,30MB,55 W,"May 10th, 2022",
74,Core i9-13900K,Raptor Lake-S,24 / 32,3 to 5.8 GHz,Socket 1700,10 nm,36MB,125 W,"Sep 27th, 2022",
75,Core i9-13900KF,Raptor Lake-S,24 / 32,3 to 5.8 GHz,Socket 1700,10 nm,36MB,125 W,"Sep 27th, 2022",
76,Pentium 8500,Alder Lake-U,5 / 6,1 to 4.4 GHz,BGA 1781,10 nm,8MB,9 W,"Feb 23rd, 2022",
77,Pentium 8505,Alder Lake-U,5 / 6,1.2 to 4.4 GHz,BGA 1744,10 nm,8MB,15 W,"Feb 23rd, 2022",
78,Pentium 8505 (IPU),Alder Lake-U,5 / 6,1.2 to 4.4 GHz,BGA 1744,10 nm,8MB,15 W,"Feb 23rd, 2022",
79,Pentium Gold G7400,Alder Lake-S,2 / 4,3.7 GHz,Socket 1700,10 nm,6MB,46 W,"Jan 4th, 2022",
80,Pentium Gold G7400E,Alder Lake-S,2 / 4,3.6 GHz,Socket 1700,10 nm,6MB,46 W,"Jan 4th, 2022",
81,Pentium Gold G7400T,Alder Lake-S,2 / 4,3.1 GHz,Socket 1700,10 nm,6MB,35 W,"Jan 4th, 2022",
82,Pentium Gold G7400TE,Alder Lake-S,2 / 4,3 GHz,Socket 1700,10 nm,6MB,35 W,"Jan 4th, 2022",
